frame,pump_rpm,time_s,area_um2,area_mm2,r_eff_um,coverage
77,4,0.77,83206.45867611845,0.0832064586761184,162.74347418852636,0.825
78,4,0.78,83714.55314254113,0.0837145531425411,163.23960880475414,0.8305555555555556
79,4,0.79,85608.27504230777,0.0856082750423077,165.07561989920748,0.8305555555555556
80,4,0.8,84202.69865329844,0.0842026986532984,163.7148479054342,0.8305555555555556
81,4,0.81,84329.84445257472,0.0843298444525747,163.83840572221104,0.8222222222222222
82,4,0.82,84443.13046238397,0.0844431304623839,163.94841641956907,0.8305555555555556
83,4,0.83,83319.19834609314,0.0833191983460931,162.85369060131734,0.8277777777777777
84,4,0.84,84476.74319010666,0.0844767431901066,163.9810431422491,0.8194444444444444
85,4,0.85,83425.1857524831,0.0834251857524831,162.95723789305737,0.8305555555555556
86,4,0.86,84730.8571341369,0.0847308571341368,164.2274931021665,0.8194444444444444
87,4,0.87,83022.22731830321,0.0830222273183032,162.5632053338451,0.8222222222222222
88,4,0.88,85259.79996080053,0.0852597999608005,164.73930078027882,0.8277777777777777
89,4,0.89,84423.36457239072,0.0844233645723907,163.9292273156021,0.825
90,4,0.9,85735.3621867214,0.0857353621867214,165.1981034382095,0.8305555555555556
91,4,0.91,84013.41217235773,0.0840134121723577,163.5307300371862,0.8277777777777777
92,4,0.92,84298.15282042866,0.0842981528204286,163.8076171298955,0.8305555555555556
93,4,0.93,85462.44046042138,0.0854624404604213,164.9349559552059,0.8305555555555556
94,4,0.94,84090.15774897522,0.0840901577489752,163.60540499095166,0.8222222222222222
95,4,0.95,85757.6687936708,0.0857576687936708,165.21959264294466,0.8222222222222222
96,4,0.96,85216.35388551756,0.0852163538855175,164.6973220981347,0.8277777777777777
97,4,0.97,84761.8307210625,0.0847618307210625,164.25750725477096,0.8305555555555556
98,4,0.98,84418.08098296195,0.0844180809829619,163.92409752547258,0.825
99,4,0.99,84470.60619554437,0.0844706061955443,163.9750866564172,0.8361111111111111
100,4,1.0,84737.16157127928,0.0847371615712792,164.23360269838628,0.8361111111111111
101,4,1.01,83835.93039247018,0.0838359303924701,163.35790602642828,0.8277777777777777
102,4,1.02,83610.31883113671,0.0836103188311367,163.13795104429127,0.8361111111111111
103,4,1.03,83867.41996446399,0.083867419964464,163.38858253689793,0.8361111111111111
104,4,1.04,84090.04749519039,0.0840900474951903,163.6052977363007,0.8305555555555556
105,4,1.05,84647.8037696035,0.0846478037696035,164.14698530162025,0.8333333333333334
106,4,1.06,84667.18842884594,0.0846671884288459,164.165779358207,0.8277777777777777
107,4,1.07,84492.47039564703,0.084492470395647,163.9963067725176,0.8333333333333334
108,4,1.08,84114.68640904863,0.0841146864090486,163.62926467245862,0.8277777777777777
109,4,1.09,84120.35336613774,0.0841203533661377,163.63477657794982,0.8305555555555556
110,4,1.1,83686.880469608,0.083686880469608,163.21262634170623,0.8333333333333334
111,4,1.11,83740.00158513729,0.0837400015851373,163.26441857794825,0.8388888888888889
112,4,1.12,83762.17469787078,0.0837621746978707,163.2860321478418,0.8361111111111111
113,4,1.13,84066.43851303618,0.0840664385130361,163.58232934813338,0.8305555555555556
114,4,1.14,84228.02805624474,0.0842280280562447,163.73946996392894,0.825
115,4,1.15,83780.81832714769,0.0837808183271476,163.30420308767074,0.8333333333333334
116,4,1.16,84244.56254234066,0.0842445625423406,163.75554071375933,0.8277777777777777
117,4,1.17,84161.5197412749,0.0841615197412748,163.67481104281154,0.8305555555555556
118,4,1.18,84153.333545669,0.0841533335456689,163.66685071482397,0.825
119,4,1.19,84508.36881313488,0.0845083688131348,164.01173512430984,0.8361111111111111
120,4,1.2,84989.9629557566,0.0849899629557565,164.4784041605811,0.8305555555555556
121,4,1.21,85611.82157123434,0.0856118215712343,165.0790391913116,0.8277777777777777
122,4,1.22,84280.70581532024,0.0842807058153202,163.79066479981125,0.8277777777777777
123,4,1.23,84963.74962947938,0.0849637496294793,164.45303729122082,0.8194444444444444
124,4,1.24,84916.48844379387,0.0849164884437938,164.4072923311834,0.8277777777777777
125,4,1.25,83059.89215049158,0.0830598921504915,162.6000763125925,0.8277777777777777
126,4,1.26,83970.92250927386,0.0839709225092738,163.48937209089425,0.8277777777777777
127,4,1.27,85010.93134998911,0.0850109313499891,164.49869264645562,0.8222222222222222
128,4,1.28,84520.12322321035,0.0845201232232103,164.02314106070537,0.8305555555555556
129,4,1.29,85494.13719226721,0.0854941371922672,164.96553906513918,0.8166666666666667
130,4,1.3,83865.58705128105,0.083865587051281,163.38679710744702,0.8222222222222222
131,4,1.31,83908.3990367373,0.0839083990367373,163.42849490602285,0.825
132,4,1.32,84159.54370657878,0.0841595437065787,163.6728895648905,0.8277777777777777
133,4,1.33,82441.27820579137,0.0824412782057913,161.99343777613856,0.825
134,4,1.34,84113.38846850226,0.0841133884685022,163.62800221826922,0.8305555555555556
135,4,1.35,84471.67370343141,0.0844716737034314,163.97612278101207,0.825
136,4,1.36,84327.76597895194,0.0843277659789519,163.83638665111462,0.8222222222222222
137,4,1.37,84358.04846002925,0.0843580484600292,163.86580120329745,0.8333333333333334
138,4,1.38,84243.85105241084,0.0842438510524108,163.7548492111825,0.8305555555555556
139,4,1.39,81659.10157415268,0.0816591015741526,161.2231352130926,0.8333333333333334
140,4,1.4,82266.62396769659,0.0822666239676965,161.82175290078342,0.8333333333333334
141,4,1.41,83968.78770784728,0.0839687877078472,163.4872938740982,0.8277777777777777
142,4,1.42,82672.04983225686,0.0826720498322568,162.22000731317436,0.8305555555555556
143,4,1.43,83005.69085333923,0.0830056908533392,162.54701476229368,0.8277777777777777
144,4,1.44,84312.84603453078,0.0843128460345307,163.82189238646637,0.8277777777777777
145,4,1.45,84035.26619897854,0.0840352661989785,163.55199790654166,0.8194444444444444
146,4,1.46,83988.5286752345,0.0839885286752345,163.5065105840068,0.8277777777777777
147,4,1.47,84366.86357806266,0.0843668635780626,163.8743626782924,0.825
148,4,1.48,84604.20912825939,0.0846042091282593,164.104711017953,0.8333333333333334
149,4,1.49,84802.88034692159,0.0848028803469215,164.29727688335626,0.8305555555555556
150,4,1.5,86256.56851405163,0.0862565685140516,165.69948251673003,0.8305555555555556
151,4,1.51,84384.9647455179,0.0843849647455178,163.89194160717292,0.825
152,4,1.52,84341.99384732041,0.0843419938473204,163.85020739094148,0.8361111111111111
153,4,1.53,82330.81359888332,0.0823308135988833,161.88487238182398,0.8277777777777777
154,4,1.54,84137.66432196464,0.0841376643219646,163.65161274516834,0.8277777777777777
155,4,1.55,83442.39408739508,0.083442394087395,162.97404383785087,0.8305555555555556
156,4,1.56,84362.90135044928,0.0843629013504492,163.87051451373392,0.8333333333333334
157,4,1.57,82857.27364495522,0.0828572736449552,162.40162974374638,0.8277777777777777
158,4,1.58,83685.6088311132,0.0836856088311132,163.21138631312732,0.8305555555555556
159,4,1.59,84191.57666234061,0.0841915766623406,163.70403533518507,0.8222222222222222
160,4,1.6,84056.98473373009,0.08405698473373,163.57313117852289,0.8277777777777777
161,4,1.61,84396.8868791292,0.0843968868791292,163.90351874429626,0.8277777777777777
162,4,1.62,84192.18838248288,0.0841921883824828,163.70463005545196,0.825
163,4,1.63,84016.24670443253,0.0840162467044325,163.53348869903436,0.825
164,4,1.64,84528.16128481094,0.0845281612848109,164.03094036764304,0.8166666666666667
165,4,1.65,83367.6357069228,0.0833676357069228,162.90102097065662,0.825
166,4,1.66,84581.46994517714,0.0845814699451771,164.08265621785577,0.8305555555555556
167,4,1.67,84289.73275545043,0.0842897327554504,163.7994360181059,0.8277777777777777
168,4,1.68,83233.85766474935,0.0832338576647493,162.77026681769675,0.8305555555555556
169,4,1.69,81062.6827008818,0.0810626827008818,160.6332882819449,0.8222222222222222
170,4,1.7,84251.62678754287,0.0842516267875428,163.76240634999837,0.8361111111111111
171,4,1.71,84721.3524793618,0.0847213524793618,164.2182817625445,0.8333333333333334
172,4,1.72,80873.8726172427,0.0808738726172427,160.4461068023681,0.8166666666666667
173,4,1.73,81740.68029058742,0.0817406802905874,161.30364732355713,0.825
174,4,1.74,83961.48488419062,0.0839614848841906,163.48018441789446,0.8305555555555556
175,4,1.75,83233.52656073052,0.0832335265607305,162.76994306757513,0.8416666666666667
176,4,1.76,83643.06045525846,0.0836430604552584,163.169890156172,0.8416666666666667
177,4,1.77,85385.37946070725,0.0853853794607072,164.86057872607844,0.8333333333333334
178,4,1.78,81751.18218809341,0.0817511821880934,161.31400899389473,0.8222222222222222
179,4,1.79,85631.59868536152,0.0856315986853615,165.09810547451312,0.8138888888888889
180,4,1.8,82794.43297208167,0.0827944329720816,162.34003368237546,0.8166666666666667
181,4,1.81,82191.61493982057,0.0821916149398205,161.74796319198654,0.8138888888888889
182,4,1.82,82590.10952156958,0.0825901095215695,162.1395952928143,0.8194444444444444
183,4,1.83,83761.7457913397,0.0837617457913397,163.2856140919859,0.8027777777777778
184,4,1.84,85817.02863879515,0.0858170286387951,165.27676369848842,0.8111111111111111
185,4,1.85,84161.52104347969,0.0841615210434797,163.67481230905602,0.8
186,4,1.86,83642.41414407163,0.0836424141440716,163.1692597468559,0.8
187,4,1.87,82373.73014021605,0.082373730140216,161.9270597073462,0.7805555555555556
188,4,1.88,82740.20652772163,0.0827402065277216,162.28686244629418,0.775
189,4,1.89,84732.42489559342,0.0847324248955934,164.22901243261782,0.7833333333333333
190,4,1.9,84085.59343063922,0.0840855934306392,163.60096477283764,0.7944444444444444
191,4,1.91,83922.0812994226,0.0839220812994226,163.44181884305505,0.7833333333333333
192,4,1.92,83426.12288922783,0.0834261228892278,162.95815316094203,0.775
193,4,1.93,83107.96576346201,0.083107965763462,162.6471245461596,0.7805555555555556
194,4,1.94,83511.66674307325,0.0835116667430732,163.04167913759443,0.7861111111111111
195,4,1.95,83666.39847721717,0.0836663984772171,163.19265233671115,0.7888888888888889
196,4,1.96,83862.08399520899,0.0838620839952089,163.3833847478086,0.7777777777777778
197,4,1.97,83865.22333441938,0.0838652233344193,163.38644281077063,0.7833333333333333
198,4,1.98,84293.50977181512,0.0842935097718151,163.8031058969845,0.7777777777777778
199,4,1.99,85036.74358312729,0.0850367435831273,164.5236644722741,0.7694444444444445
200,4,2.0,84737.98798880717,0.0847379879888071,164.2344035583307,0.7722222222222223
201,4,2.01,86508.09588332396,0.0865080958833239,165.9408995835484,0.7722222222222223
202,4,2.02,85954.73497421274,0.0859547349742127,165.40931626301932,0.7666666666666667
203,4,2.03,87171.14659940595,0.0871711465994059,166.5756217234906,0.7638888888888888
204,4,2.04,85749.7837675962,0.0857497837675961,165.21199687476755,0.7611111111111111
205,4,2.05,87747.03074695796,0.0877470307469579,167.12494538527085,0.7694444444444445
206,4,2.06,88876.14746527738,0.0888761474652773,168.19677875668796,0.7694444444444445
207,4,2.07,87104.73792490196,0.0871047379249019,166.51215936064386,0.7638888888888888
208,4,2.08,87755.9814569073,0.0877559814569073,167.13346902848335,0.7611111111111111
209,4,2.09,87388.01259367715,0.0873880125936771,166.7826979711056,0.7611111111111111
210,4,2.1,88697.21368266788,0.0886972136826678,168.0273786980841,0.7694444444444445
211,4,2.11,88018.61016951442,0.0880186101695144,167.38337368183724,0.7638888888888888
212,4,2.12,89743.83929143655,0.0897438392914365,169.0158314198808,0.7666666666666667
213,4,2.13,88567.39310143018,0.0885673931014301,167.9043680721597,0.75
214,4,2.14,92091.51396304516,0.0920915139630451,171.2122639534618,0.7555555555555555
215,4,2.15,89058.03543950543,0.0890580354395054,168.36880092374884,0.7555555555555555
216,4,2.16,89855.48573745826,0.0898554857374582,169.12093140140746,0.7555555555555555
217,4,2.17,89250.53048294972,0.0892505304829497,168.55066359961526,0.7611111111111111
218,4,2.18,90957.63902625456,0.0909576390262545,170.15497561339018,0.7583333333333333
219,4,2.19,89744.49298912344,0.0897444929891234,169.0164469777716,0.7555555555555555
220,4,2.2,91475.23641806468,0.0914752364180646,170.6384250187205,0.7472222222222222
221,4,2.21,92374.55314993153,0.0923745531499315,171.47516875464277,0.75
222,4,2.22,91383.99484725196,0.0913839948472519,170.5533025152222,0.75
223,4,2.23,91695.28896716108,0.091695288967161,170.8435453703968,0.75
224,4,2.24,91418.8030117606,0.0914188030117606,170.58578130000137,0.7611111111111111
225,4,2.25,93518.41178509255,0.0935184117850925,172.53357647542603,0.7555555555555555
226,4,2.26,92974.13856987718,0.0929741385698771,172.03077476490537,0.7444444444444445
227,4,2.27,91128.4176174796,0.0911284176174795,170.3146389478276,0.7583333333333333
228,4,2.28,93222.84421927466,0.0932228442192746,172.26071209990565,0.7527777777777778
229,4,2.29,93550.7194363335,0.0935507194363335,172.56337634675285,0.7611111111111111
230,4,2.3,93372.87300165898,0.0933728730016589,172.399270815777,0.7555555555555555
231,4,2.31,91486.40171611017,0.0914864017161101,170.6488386061258,0.75
232,4,2.32,91177.99001801884,0.0911779900180188,170.36095686835753,0.75
233,4,2.33,91447.35327455425,0.0914473532745542,170.6124163495502,0.75
234,4,2.34,93392.28249111226,0.0933922824911122,172.4171882678475,0.7555555555555555
235,4,2.35,95006.99583188804,0.095006995831888,173.9013111793932,0.7472222222222222
236,4,2.36,93360.47181682316,0.0933604718168231,172.3878219540985,0.7527777777777778
237,4,2.37,95055.08543160274,0.0950550854316027,173.9453173411804,0.7416666666666667
238,4,2.38,92700.23829393052,0.0927002382939305,171.77718795157668,0.7416666666666667
239,4,2.39,92471.79248564845,0.0924717924856484,171.5653978555054,0.75
240,4,2.4,93989.4596410227,0.0939894596410226,172.96755245077017,0.7583333333333333
241,4,2.41,92718.72340475443,0.0927187234047544,171.79431391659548,0.75
242,4,2.42,92969.45605480128,0.0929694560548012,172.02644266325083,0.7416666666666667
243,4,2.43,97076.97706880709,0.097076977068807,175.7855554982787,0.7527777777777778
244,4,2.44,92486.89411549889,0.0924868941154988,171.57940651312657,0.75
245,4,2.45,94679.4779724486,0.0946794779724485,173.6013071879092,0.7611111111111111
246,4,2.46,92161.60682544608,0.092161606825446,171.2774082566729,0.7444444444444445
247,4,2.47,95058.70452705328,0.0950587045270532,173.94862867750615,0.7444444444444445
248,4,2.48,93614.67409614798,0.0936146740961479,172.62235155586754,0.7527777777777778
249,4,2.49,92897.31487258774,0.0928973148725877,171.95968633337628,0.7416666666666667
250,4,2.5,94440.0045235098,0.0944400045235098,173.38162270285474,0.7555555555555555
251,4,2.51,93683.13366322652,0.0936831336632265,172.68545860518333,0.7444444444444445
252,4,2.52,93728.07891782044,0.0937280789178204,172.72687727321647,0.7527777777777778
253,4,2.53,93274.91379915972,0.0932749137991597,172.3088134577376,0.7416666666666667
254,4,2.54,92707.24625850465,0.0927072462585046,171.7836808458745,0.7555555555555555
255,4,2.55,95623.02055187724,0.0956230205518772,174.4641876959805,0.7472222222222222
256,4,2.56,93859.45551981036,0.0938594555198103,172.84788862981057,0.75
257,4,2.57,93276.9315506652,0.0932769315506652,172.3106771661741,0.7527777777777778
258,4,2.58,93623.19698951211,0.0936231969895121,172.6302093432497,0.7472222222222222
259,4,2.59,95939.05730774911,0.0959390573077491,174.7522543837698,0.75
260,4,2.6,93695.78558828442,0.0936957855882844,172.69711881356812,0.7472222222222222
261,4,2.61,97420.34883298568,0.0974203488329857,176.09616733198044,0.7444444444444445
262,4,2.62,95865.1971554097,0.0958651971554097,174.68497358251827,0.7416666666666667
263,4,2.63,96414.865149766,0.096414865149766,175.1850585873337,0.7472222222222222
264,4,2.64,94784.06941596828,0.0947840694159682,173.69716850839387,0.7472222222222222
265,4,2.65,96553.94740907988,0.0965539474090798,175.3113687425317,0.7472222222222222
266,4,2.66,97276.66951631072,0.0972766695163107,175.9662626814444,0.75
267,4,2.67,94949.69398109624,0.0949496939810962,173.8488604630715,0.7611111111111111
268,4,2.68,93588.4127840324,0.0935884127840323,172.59813736366615,0.7444444444444445
269,4,2.69,96808.76684586814,0.0968087668458681,175.54255198185257,0.7527777777777778
270,4,2.7,95876.39454409613,0.0958763945440961,174.6951751910837,0.7527777777777778
271,4,2.71,94306.04692513825,0.0943060469251382,173.2586132438557,0.75
272,4,2.72,93405.975690133,0.093405975690133,172.4298277294626,0.7444444444444445
273,4,2.73,93873.42149614,0.09387342149614,172.86074774835188,0.75
274,4,2.74,95682.69769383156,0.0956826976938315,174.5186196733219,0.7472222222222222
275,4,2.75,95143.45974568553,0.0951434597456855,174.02615850147708,0.7527777777777778
276,4,2.76,92459.042645389,0.092459042645389,171.55356988741454,0.75
277,4,2.77,93879.6671212278,0.0938796671212277,172.8664980738899,0.7472222222222222
278,4,2.78,92294.971425686,0.0922949714256859,171.40128893869587,0.7472222222222222
279,4,2.79,93328.7377482154,0.0933287377482154,172.35852137423117,0.7527777777777778
280,4,2.8,90210.41167722794,0.0902104116772279,169.4546130194493,0.75
281,4,2.81,93495.88833021469,0.0934958883302146,172.5127982876721,0.7472222222222222
282,4,2.82,99039.37959791618,0.0990393795979161,177.55341068964557,0.7583333333333333
283,4,2.83,98082.97994568586,0.0980829799456858,176.6940355051021,0.7916666666666666
284,4,2.84,86772.36619517744,0.0867723661951774,166.1941695953415,0.8166666666666667
285,4,2.85,85250.57734359406,0.085250577343594,164.7303905517797,0.7555555555555555
286,4,2.86,90276.9500854353,0.0902769500854352,169.5170956178599,0.8166666666666667
287,4,2.87,93462.13158027505,0.093462131580275,172.48165254835604,0.7333333333333333
288,4,2.88,87074.32150132139,0.0870743215013214,166.48308432575487,0.7944444444444444
289,4,2.89,84515.41916880842,0.0845154191688084,164.01857655887264,0.7555555555555555
290,4,2.9,84826.69498267409,0.084826694982674,164.32034452642228,0.7444444444444445
291,4,2.91,85697.5188048896,0.0856975188048896,165.16164039212512,0.7611111111111111
292,4,2.92,89672.64721498088,0.0896726472149808,168.94877960139215,0.7444444444444445
293,4,2.93,87597.1945650988,0.0875971945650988,166.98219375740626,0.7555555555555555
294,4,2.94,90618.99728319264,0.0906189972831926,169.83793072014944,0.7472222222222222
295,4,2.95,93412.31667220646,0.0934123166722064,172.43568043793678,0.7638888888888888
296,4,2.96,92662.38722212784,0.0926623872221278,171.74211460848457,0.7916666666666666
297,4,2.97,83470.66411441656,0.0834706641144165,163.00164905284046,0.9277777777777778
298,4,2.98,82149.28561426213,0.0821492856142621,161.70630709392722,0.9361111111111112
299,4,2.99,87253.33945516543,0.0872533394551654,166.654134515557,0.7583333333333333
300,4,3.0,87227.76057552526,0.0872277605755252,166.62970485739447,0.7666666666666667
301,4,3.01,83389.43732509755,0.0833894373250975,162.92231984563116,0.7805555555555556
302,4,3.02,87430.0920015827,0.0874300920015827,166.82284805763908,0.775
303,4,3.03,87537.20711937359,0.0875372071193735,166.9250084169976,0.7638888888888888
304,4,3.04,82485.43297798926,0.0824854329779892,162.03681304890085,0.7805555555555556
305,4,3.05,84930.0391184528,0.0849300391184528,164.42040957672987,0.7916666666666666
306,4,3.06,84876.15001369418,0.0848761500136941,164.3682379615275,0.7833333333333333
307,4,3.07,85824.78883005767,0.0858247888300576,165.28423628478166,0.7666666666666667
308,4,3.08,84348.19905317633,0.0843481990531763,163.85623467059247,0.7722222222222223
309,4,3.09,84562.42082488966,0.0845624208248896,164.06417813830183,0.7777777777777778
310,4,3.1,83558.38747188977,0.0835583874718897,163.08727971818743,0.7694444444444445
311,4,3.11,83115.37085758234,0.0831153708575823,162.65437048478157,0.7805555555555556
312,4,3.12,84869.42631991088,0.0848694263199108,164.3617273953229,0.775
313,4,3.13,84899.74419423213,0.0848997441942321,164.39108221402697,0.7694444444444445
314,4,3.14,83589.66605355767,0.0835896660535576,163.11780125924028,0.775
315,4,3.15,83821.12488501299,0.0838211248850129,163.34348080638478,0.7722222222222223
316,4,3.16,85391.9265955505,0.0853919265955504,164.86689915093413,0.7638888888888888
317,4,3.17,83747.76938362431,0.0837477693836243,163.27199068011578,0.7722222222222223
318,4,3.18,84376.5414788842,0.0843765414788842,163.8837615956063,0.7861111111111111
319,4,3.19,84856.2666290129,0.0848562666290129,164.34898409379502,0.7722222222222223
320,4,3.2,83930.18694244149,0.0839301869424414,163.449711694554,0.7722222222222223
321,4,3.21,85257.1953406569,0.0852571953406569,164.73678443272377,0.775
322,4,3.22,83482.41407641127,0.0834824140764112,163.01312132159958,0.7722222222222223
323,4,3.23,85102.28224082355,0.0851022822408235,164.587052267356,0.775
324,4,3.24,83743.13813945955,0.0837431381394595,163.26747615445285,0.775
325,4,3.25,86192.4625424837,0.0861924625424837,165.6378970580061,0.7722222222222223
326,4,3.26,84270.10416943839,0.0842701041694383,163.78036288539025,0.7722222222222223
327,4,3.27,84881.34974730034,0.0848813497473003,164.37327269720492,0.7805555555555556
328,4,3.28,84397.504799857,0.084397504799857,163.90411876166627,0.7722222222222223
329,4,3.29,84035.23998146097,0.0840352399814609,163.55197239387357,0.7805555555555556
330,4,3.3,83624.07131673025,0.0836240713167302,163.1513672117203,0.7833333333333333
331,4,3.31,83400.38088522127,0.0834003808852212,162.93300999877093,0.7722222222222223
332,4,3.32,83498.8794762473,0.0834988794762473,163.0291962274191,0.7777777777777778
333,4,3.33,84499.50196910162,0.0844995019691016,164.00313062369185,0.7777777777777778
334,4,3.34,83352.02776746605,0.083352027767466,162.88577123816026,0.7833333333333333
335,4,3.35,85037.73103861982,0.0850377310386198,164.52461970243505,0.775
336,4,3.36,85530.19308582878,0.0855301930858287,165.00032129189265,0.7722222222222223
337,4,3.37,84556.94056755643,0.0845569405675564,164.05886177865688,0.7777777777777778
