frame,pump_rpm,time_s,area_um2,area_mm2,r_eff_um,coverage,area_mm2_smoothed
0,2,0.0,90397.09732156152,0.0903970973215615,169.6298610497907,0.35,0.0856884872612683
1,2,0.01,92880.95740970389,0.0928809574097038,171.94454624013042,0.3527777777777778,0.0857102835592191
2,2,0.02,87146.3408129857,0.0871463408129857,166.551919309011,0.3611111111111111,0.0857574317586513
3,2,0.03,85666.69096331751,0.0856666909633175,165.1319310438643,0.3472222222222222,0.0858045799580836
4,2,0.04,82289.92511971992,0.0822899251197199,161.84466842911664,0.3611111111111111,0.0861086064862654
5,2,0.05,82167.17821461621,0.0821671782146162,161.72391643024767,0.3694444444444444,0.0858045799580836
6,2,0.06,81380.95323778952,0.0813809532377895,160.94832078232187,0.3555555555555555,0.0857574317586513
7,2,0.07,89447.99118931111,0.0894479911893111,168.73701400356217,0.3666666666666666,0.0858045799580836
8,2,0.08,87083.6001151265,0.0870836001151264,166.4919542834447,0.3666666666666666,0.0857574317586513
9,2,0.09,85710.28355921911,0.0857102835592191,165.17394045222588,0.3666666666666666,0.0857102835592191
10,2,0.1,82125.70299148689,0.0821257029914868,161.6830948862125,0.3611111111111111,0.0857574317586513
11,2,0.11,85804.57995808363,0.0858045799580836,165.26477567983312,0.3777777777777777,0.0858045799580836
12,2,0.12,86787.12962023399,0.086787129620234,166.20830710778137,0.3527777777777778,0.0857574317586513
13,2,0.13,80476.90412998146,0.0804769041299814,160.05184845554967,0.3861111111111111,0.0858045799580836
14,2,0.14,82830.37765589854,0.0828303776558985,162.37526931219992,0.3888888888888889,0.0857574317586513
15,2,0.15,82943.68333354472,0.0829436833335447,162.4862898879933,0.3777777777777777,0.0857102835592191
16,2,0.16,87726.7673074199,0.0877267673074198,167.1056471723703,0.4083333333333333,0.0856666909633175
17,2,0.17,86412.63301444735,0.0864126330144473,165.8493152824889,0.3944444444444444,0.0856666909633175
18,2,0.18,88904.65997286109,0.0889046599728611,168.22375634009018,0.3638888888888889,0.0856666909633175
19,2,0.19,87802.60531663288,0.0878026053166328,167.1778612884424,0.3722222222222222,0.0857102835592191
20,2,0.2,85438.87523707261,0.0854388752370726,164.9122149884103,0.3861111111111111,0.0858045799580836
21,2,0.21,82978.4709204545,0.0829784709204545,162.5203606764237,0.3777777777777777,0.0861069783862457
22,2,0.22,87197.83335679522,0.0871978333567952,166.60111767714716,0.3666666666666666,0.0861069783862457
23,2,0.23,80605.99608597436,0.0806059960859743,160.18016556321064,0.3805555555555555,0.0861069783862457
24,2,0.24,81458.3172661734,0.0814583172661734,161.02480460388318,0.3805555555555555,0.0858045799580836
25,2,0.25,88247.90557269161,0.0882479055726916,167.60125530198565,0.3611111111111111,0.0858045799580836
26,2,0.26,86106.9783862457,0.0861069783862457,165.5557383172084,0.3638888888888889,0.0858045799580836
27,2,0.27,80903.61784943113,0.0809036178494311,160.47560995213357,0.3722222222222222,0.0861069783862457
28,2,0.28,87929.1578398908,0.0879291578398908,167.2982971349446,0.3861111111111111,0.0861069783862457
29,2,0.29,84401.6617594458,0.0844016617594457,163.90815522228291,0.3861111111111111,0.0862613733576343
30,2,0.3,81157.14296051928,0.0811571429605192,160.72685195313358,0.3833333333333333,0.0864126330144473
31,2,0.31,80460.53047547887,0.0804605304754788,160.03556572817527,0.4194444444444444,0.0864126330144473
32,2,0.32,87963.53198038397,0.0879635319803839,167.33099489634387,0.4222222222222222,0.0862613733576343
33,2,0.33,87342.43156232328,0.0873424315623232,166.7391959007199,0.3861111111111111,0.0861069783862457
34,2,0.34,87194.07090752615,0.0871940709075261,166.59752335036683,0.3777777777777777,0.0861069783862457
35,2,0.35,90076.37764358315,0.0900763776435831,169.32867895184535,0.3666666666666666,0.0856425502100383
36,2,0.36,89973.05249413915,0.0899730524941391,169.23153399711785,0.3805555555555555,0.0861069783862457
37,2,0.37,83425.32761537746,0.0834253276153774,162.9573764457941,0.3583333333333333,0.0861069783862457
38,2,0.38,91092.23532753334,0.0910922353275333,170.2808241092761,0.3444444444444444,0.0856425502100383
39,2,0.39,85528.86645978577,0.0855288664597857,164.99904165855943,0.3694444444444444,0.0861069783862457
40,2,0.4,81087.49046644848,0.0810874904664484,160.65786585568856,0.425,0.0862613733576343
41,2,0.41,85642.55021003837,0.0856425502100383,165.10866243128157,0.3888888888888889,0.0862613733576343
42,2,0.42,88262.60130006027,0.0882626013000602,167.61520985312603,0.3833333333333333,0.0862613733576343
43,2,0.43,86261.37335763432,0.0862613733576343,165.7040975218357,0.3805555555555555,0.0864100860171877
44,2,0.44,88218.88300025903,0.088218883000259,167.5736930638983,0.4166666666666667,0.0862613733576343
45,2,0.45,87004.90329620388,0.0870049032962038,166.41670849300672,0.3916666666666666,0.0864100860171877
46,2,0.46,82340.99850397545,0.0823409985039754,161.89488522513645,0.4111111111111111,0.0870049032962038
47,2,0.47,84657.87236152333,0.0846578723615233,164.15674739698753,0.4222222222222222,0.0871940709075261
48,2,0.48,81328.55542266698,0.0813285554226669,160.89649847054233,0.4055555555555555,0.0870187771283005
49,2,0.49,91638.2278064014,0.0916382278064014,170.79037989049593,0.4055555555555555,0.0870187771283005
50,2,0.5,83055.4994764174,0.0830554994764174,162.59577665264345,0.3861111111111111,0.0870049032962038
51,2,0.51,89868.82372035383,0.0898688237203538,169.13348293551155,0.3777777777777777,0.0870049032962038
52,2,0.52,83259.64083090422,0.0832596408309042,162.7954753566217,0.4277777777777777,0.0870049032962038
53,2,0.53,82716.36571265303,0.082716365712653,162.2634800425881,0.4,0.0870049032962038
54,2,0.54,87918.9228656521,0.0879189228656521,167.2885600714143,0.4,0.0864100860171877
55,2,0.55,91161.44708078248,0.0911614470807824,170.3455013924158,0.3777777777777777,0.0864100860171877
56,2,0.56,86410.08601718773,0.0864100860171877,165.84687107468315,0.4,0.0864100860171877
57,2,0.57,82535.58924907894,0.0825355892490789,162.0860697900545,0.3777777777777777,0.0870049032962038
58,2,0.58,88943.9535135391,0.0889439535135391,168.26092748951257,0.3805555555555555,0.0864100860171877
59,2,0.59,85541.25163776155,0.0855412516377615,165.01098773365027,0.3583333333333333,0.0870049032962038
60,2,0.6,88646.34315713751,0.0886463431571375,167.97918740414747,0.3805555555555555,0.0864100860171877
61,2,0.61,88476.13151197607,0.088476131511976,167.81783978933586,0.375,0.0863938325763023
62,2,0.62,90195.5260223858,0.0901955260223857,169.44063155711132,0.3472222222222222,0.0863938325763023
63,2,0.63,87018.77712830053,0.0870187771283005,166.42997639716828,0.3666666666666666,0.0864100860171877
64,2,0.64,87393.90707585117,0.0873939070758511,166.78832277611932,0.3666666666666666,0.0864100860171877
65,2,0.65,86393.83257630232,0.0863938325763023,165.83127272726412,0.375,0.0864100860171877
66,2,0.66,90958.02607082143,0.0909580260708214,170.15533763624765,0.3638888888888889,0.0864100860171877
67,2,0.67,91217.34485695232,0.0912173448569523,170.3977190557552,0.3527777777777778,0.0863938325763023
68,2,0.68,84181.9130271197,0.0841819130271197,163.6946399684371,0.3527777777777778,0.0863938325763023
69,2,0.69,83800.51398870516,0.0838005139887051,163.32339719062878,0.3833333333333333,0.0864100860171877
70,2,0.7,86365.57705348282,0.0863655770534828,165.8041525477921,0.3722222222222222,0.0863938325763023
71,2,0.71,86064.98360689553,0.0860649836068955,165.51536223662362,0.3638888888888889,0.0863655770534828
72,2,0.72,88673.55755612513,0.0886735575561251,168.0049702038663,0.3361111111111111,0.0860649836068955
73,2,0.73,81213.7889781002,0.0812137889781002,160.78293418821994,0.3444444444444444,0.0860649836068955
74,2,0.74,87038.80354404719,0.0870388035440471,166.4491263109512,0.3277777777777778,0.0857999860398072
75,2,0.75,83619.77128863418,0.0836197712886341,163.14717245971428,0.3222222222222222,0.0860649836068955
76,2,0.76,84499.86760069328,0.0844998676006932,164.00348544626135,0.3083333333333333,0.0857999860398072
77,2,0.77,82566.33403070291,0.0825663340307029,162.11625577938162,0.3222222222222222,0.0854465997419388
78,2,0.78,87697.02272855489,0.0876970227285549,167.077315406322,0.2972222222222222,0.0844998676006932
79,2,0.79,84283.97411552348,0.0842839741155234,163.7938405674335,0.2805555555555555,0.084470024274862
80,2,0.8,86583.87713796248,0.0865838771379624,166.01356594307632,0.2861111111111111,0.084470024274862
81,2,0.81,77392.22951336225,0.0773922295133622,156.9544894799386,0.2972222222222222,0.0842839741155234
82,2,0.82,80868.93055973346,0.0808689305597334,160.44120444036074,0.275,0.0841819130271197
83,2,0.83,74446.39352195845,0.0744463935219584,153.93837419164942,0.2805555555555555,0.0841819130271197
84,2,0.84,87115.88333548912,0.0871158833354891,166.52281197877943,0.2555555555555555,0.0840906627420298
85,2,0.85,73893.34482389134,0.0738933448238913,153.36551822568345,0.2583333333333333,0.0842839741155234
86,2,0.86,82587.63466256582,0.0825876346625658,162.13716597261038,0.2972222222222222,0.0840906627420298
87,2,0.87,84470.02427486207,0.084470024274862,163.97452184066088,0.3555555555555555,0.0840906627420298
88,2,0.88,80189.71319135164,0.0801897131913516,159.76601165157112,0.2916666666666667,0.0836197712886341
89,2,0.89,85799.98603980722,0.0857999860398072,165.2603515393268,0.2805555555555555,0.0836197712886341
90,2,0.9,87068.25159147839,0.0870682515914784,166.47728149602017,0.3083333333333333,0.0833797060048175
91,2,0.91,84090.66274202989,0.0840906627420298,163.6058962462388,0.3222222222222222,0.0833797060048175
92,2,0.92,85446.59974193886,0.0854465997419388,164.91966965358762,0.2944444444444444,0.0833797060048175
93,2,0.93,82605.39988658176,0.0826053998865817,162.15460349945158,0.3111111111111111,0.0835873186887205
94,2,0.94,81708.55988924314,0.0817085598892431,161.2719516797215,0.3444444444444444,0.0833797060048175
95,2,0.95,86071.69445969848,0.0860716944596984,165.52181507919926,0.3666666666666666,0.0833797060048175
96,2,0.96,83379.70600481759,0.0833797060048175,162.9128132727178,0.3972222222222222,0.0833797060048175
97,2,0.97,82156.50413549444,0.0821565041354944,161.71341156696732,0.375,0.0835873186887205
98,2,0.98,91867.29472852136,0.0918672947285213,171.00370793947243,0.3944444444444444,0.0835873186887205
99,2,0.99,82475.68065879428,0.0824756806587942,162.02723389427925,0.3805555555555555,0.0840906627420298
100,2,1.0,87054.3858237589,0.0870543858237589,166.46402507256784,0.3805555555555555,0.0835873186887205
101,2,1.01,79230.86856998698,0.0792308685699869,158.80796188086867,0.3583333333333333,0.0840906627420298
102,2,1.02,85773.83283498503,0.085773832834985,165.2351626236122,0.3583333333333333,0.0840906627420298
103,2,1.03,82339.94975808944,0.0823399497580894,161.89385422515733,0.3111111111111111,0.0840906627420298
104,2,1.04,81341.1078657384,0.0813411078657384,160.90891456599485,0.3333333333333333,0.0840906627420298
105,2,1.05,83286.97050281166,0.0832869705028116,162.82219167344087,0.3555555555555555,0.0840906627420298
106,2,1.06,83587.31868872054,0.0835873186887205,163.11551090627424,0.3388888888888889,0.0835873186887205
107,2,1.07,85710.1838099444,0.0857101838099444,165.17384433782237,0.3194444444444444,0.0833797060048175
108,2,1.08,84855.8961239821,0.084855896123982,164.3486252977137,0.3527777777777778,0.0833797060048175
109,2,1.09,83091.91503683975,0.0830919150368397,162.63141768480548,0.3416666666666667,0.0833797060048175
110,2,1.1,84622.15652797528,0.0846221565279752,164.1221161606404,0.3305555555555555,0.0833797060048175
111,2,1.11,84253.79385751704,0.084253793857517,163.76451243581073,0.3388888888888889,0.0833797060048175
112,2,1.12,88560.70587793167,0.0885607058779316,167.89802919736906,0.3222222222222222,0.0835873186887205
113,2,1.13,82328.44774729396,0.0823284477472939,161.8825464098255,0.3638888888888889,0.0835873186887205
114,2,1.14,87606.39602729859,0.0876063960272985,166.990963672953,0.2861111111111111,0.0832869705028116
115,2,1.15,79022.53922410196,0.0790225392241019,158.59903992892905,0.3166666666666666,0.0832869705028116
116,2,1.16,84611.97913394785,0.0846119791339478,164.11224648974925,0.3222222222222222,0.0830919150368397
117,2,1.17,81939.89842377919,0.0819398984237791,161.5000920779444,0.3666666666666666,0.0830919150368397
118,2,1.18,84254.34034774991,0.0842543403477499,163.76504354282278,0.3888888888888889,0.0828768318008884
119,2,1.19,81824.50546014679,0.0818245054601467,161.38633467572242,0.425,0.0828768318008884
120,2,1.2,84243.01883836823,0.0842430188383682,163.75404037219946,0.3916666666666666,0.0828768318008884
121,2,1.21,81846.01040220658,0.0818460104022065,161.4075408886577,0.3888888888888889,0.0828768318008884
122,2,1.22,82211.66448934136,0.0822116644893413,161.76769011944947,0.3472222222222222,0.0828174814348226
123,2,1.23,84725.2013165581,0.0847252013165581,164.22201188626437,0.3638888888888889,0.0826153551166547
124,2,1.24,77799.02380649389,0.0777990238064939,157.36644627446822,0.3833333333333333,0.0826153551166547
125,2,1.25,79951.9859839794,0.0799519859839793,159.52901792065452,0.3972222222222222,0.0826153551166547
126,2,1.26,84542.94247606903,0.084542942476069,164.04528154506698,0.35,0.0826153551166547
127,2,1.27,87590.63647056646,0.0875906364705664,166.97594295500113,0.3527777777777778,0.0826153551166547
128,2,1.28,78079.15317553659,0.0780791531755365,157.64950479031583,0.3527777777777778,0.0826153551166547
129,2,1.29,72800.40989026686,0.0728004098902668,152.2271006959804,0.3583333333333333,0.0828174814348226
130,2,1.3,82876.83180088844,0.0828768318008884,162.4207957677032,0.3944444444444444,0.0828174814348226
131,2,1.31,78305.34653690545,0.0783053465369054,157.87769298968314,0.3972222222222222,0.0828174814348226
132,2,1.32,82228.0477514681,0.0822280477514681,161.78380796879867,0.375,0.0828174814348226
133,2,1.33,80312.53875959205,0.080312538759592,159.88832062316817,0.3722222222222222,0.0828174814348226
134,2,1.34,81565.21809139832,0.0815652180913983,161.13042942668858,0.3722222222222222,0.0826153551166547
135,2,1.35,82817.48143482268,0.0828174814348226,162.36262836486296,0.3805555555555555,0.0828174814348226
136,2,1.36,85197.63367693446,0.0851976336769344,164.67923086665576,0.3833333333333333,0.0826153551166547
137,2,1.37,81527.62577038423,0.0815276257703842,161.0932937145606,0.3555555555555555,0.0826153551166547
138,2,1.38,82615.35511665477,0.0826153551166547,162.16437427565845,0.3388888888888889,0.0828174814348226
139,2,1.39,83196.52705630657,0.0831965270563065,162.73376127337437,0.3888888888888889,0.0826153551166547
140,2,1.4,85044.61634987427,0.0850446163498742,164.53128015934425,0.4166666666666667,0.0826153551166547
141,2,1.41,82972.26291538816,0.0829722629153881,162.51428111094964,0.4055555555555555,0.0828174814348226
142,2,1.42,86709.2075212668,0.0867092075212668,166.1336750246052,0.3638888888888889,0.0828174814348226
143,2,1.43,83601.77320880926,0.0836017732088092,163.12961385002774,0.3916666666666666,0.0828174814348226
144,2,1.44,83335.78548792742,0.0833357854879274,162.86990020780073,0.3916666666666666,0.0828768318008884
145,2,1.45,83288.75938632966,0.0832887593863296,162.82394025649828,0.4,0.0828768318008884
146,2,1.46,81600.28305109253,0.0816002830510925,161.1650607624319,0.375,0.0828174814348226
147,2,1.47,88479.3130677091,0.088479313067709,167.82085708338658,0.3888888888888889,0.0828174814348226
148,2,1.48,81133.06413528303,0.081133064135283,160.7030068500404,0.3805555555555555,0.0828174814348226
149,2,1.49,82348.87383230923,0.0823488738323092,161.9026270846946,0.4055555555555555,0.0829722629153881
150,2,1.5,85312.61557807137,0.0853126155780713,164.79031814611375,0.4194444444444444,0.0830367775979129
151,2,1.51,82372.71024477955,0.0823727102447795,161.9260572689465,0.4166666666666667,0.0830788982279725
152,2,1.52,81567.02413305412,0.0815670241330541,161.13221331609316,0.4027777777777778,0.0830788982279725
153,2,1.53,83036.777597913,0.0830367775979129,162.57744993159545,0.3944444444444444,0.0831965270563065
154,2,1.54,79431.7162085861,0.0794317162085861,159.0091209514039,0.375,0.0831965270563065
155,2,1.55,81533.64973300515,0.0815336497330051,161.0992450840845,0.4055555555555555,0.0830788982279725
156,2,1.56,86500.6941418944,0.0865006941418944,165.93380037570793,0.3722222222222222,0.0830788982279725
157,2,1.57,88578.83295879372,0.0885788329587937,167.91521145330054,0.3972222222222222,0.0830788982279725
158,2,1.58,84883.22639460849,0.0848832263946084,164.37508975687513,0.3777777777777777,0.0830788982279725
159,2,1.59,86848.30115835286,0.0868483011583528,166.26687239787387,0.3694444444444444,0.0830788982279725
160,2,1.6,81007.14408038883,0.0810071440803888,160.5782513676821,0.3916666666666666,0.0830788982279725
161,2,1.61,81252.73991656868,0.0812527399165686,160.82148611104213,0.4055555555555555,0.0830367775979129
162,2,1.62,82056.22586261228,0.0820562258626122,161.61468966340755,0.3694444444444444,0.0830367775979129
163,2,1.63,82158.8182151987,0.0821588182151987,161.71568901957113,0.3861111111111111,0.0830367775979129
164,2,1.64,85701.00510942335,0.0857010051094233,165.16499987048408,0.3916666666666666,0.0830367775979129
165,2,1.65,88210.52387151711,0.0882105238715171,167.56575370210695,0.3861111111111111,0.0830367775979129
166,2,1.66,83078.89822797255,0.0830788982279725,162.61867862954938,0.375,0.0830367775979129
167,2,1.67,85316.50367512013,0.0853165036751201,164.7940732381673,0.3555555555555555,0.0830788982279725
168,2,1.68,88230.26285103646,0.0882302628510364,167.5845008527917,0.35,0.0830788982279725
169,2,1.69,80179.31355621303,0.080179313556213,159.75565145675642,0.3916666666666666,0.0839314401209348
170,2,1.7,80235.7056777129,0.0802357056777129,159.81182165956596,0.3805555555555555,0.0839314401209348
171,2,1.71,90239.67871465208,0.090239678714652,169.48209893945364,0.3805555555555555,0.0839314401209348
172,2,1.72,82130.36987316913,0.0821303698731691,161.68768872910854,0.4138888888888888,0.0839314401209348
173,2,1.73,87520.63490308315,0.0875206349030831,166.90920686029725,0.3972222222222222,0.0838654760476663
174,2,1.74,83931.4401209348,0.0839314401209348,163.45093194025048,0.3944444444444444,0.0838654760476663
175,2,1.75,87966.5694118585,0.0879665694118585,167.33388388926852,0.3722222222222222,0.0838654760476663
176,2,1.76,82875.05236562181,0.0828750523656218,162.41905210281448,0.375,0.0839314401209348
177,2,1.77,82411.27969806005,0.08241127969806,161.96396222910215,0.3777777777777777,0.0839314401209348
178,2,1.78,85293.58175064712,0.0852935817506471,164.77193419771564,0.4,0.0839314401209348
179,2,1.79,82468.25439684698,0.0824682543968469,162.01993911502456,0.4166666666666667,0.0839314401209348
180,2,1.8,82190.7428745669,0.0821907428745669,161.74710510474242,0.3861111111111111,0.0838654760476663
181,2,1.81,90094.5161630118,0.0900945161630118,169.3457268006252,0.3888888888888889,0.0837564813181118
182,2,1.82,85734.26933610333,0.0857342693361033,165.1970505621257,0.4083333333333333,0.0838654760476663
183,2,1.83,79715.23527840007,0.0797152352784,159.29264725209893,0.3833333333333333,0.0838654760476663
184,2,1.84,86596.17396932915,0.0865961739693291,166.0253543291774,0.3888888888888889,0.0838654760476663
185,2,1.85,81002.87754714227,0.0810028775471422,160.574022595781,0.3916666666666666,0.0838654760476663
186,2,1.86,82760.70914606802,0.082760709146068,162.3069681460864,0.3722222222222222,0.0838654760476663
187,2,1.87,85317.25676313089,0.0853172567631308,164.79480055446362,0.3777777777777777,0.0838654760476663
188,2,1.88,83865.4760476663,0.0838654760476663,163.3866889788825,0.3777777777777777,0.0838654760476663
189,2,1.89,86717.12607901849,0.0867171260790184,166.14126077647842,0.3888888888888889,0.0837564813181118
190,2,1.9,85661.79604193864,0.0856617960419386,165.12721322788855,0.3833333333333333,0.0837564813181118
191,2,1.91,84171.17086113323,0.0841711708611332,163.68419537867337,0.3861111111111111,0.0837564813181118
192,2,1.92,81151.39305729864,0.0811513930572986,160.72115818312406,0.3666666666666666,0.0838654760476663
193,2,1.93,81548.68224438999,0.0815486822443899,161.11409548406954,0.375,0.0841711708611332
194,2,1.94,77996.63399945386,0.0779966339994538,157.56617559325647,0.3944444444444444,0.0838654760476663
195,2,1.95,83756.48131811182,0.0837564813181118,163.28048271463115,0.4111111111111111,0.0841711708611332
196,2,1.96,80998.6879520023,0.0809986879520023,160.569869972664,0.4222222222222222,0.0841824429937921
197,2,1.97,85493.56379071233,0.0854935637907123,164.9649858596311,0.3777777777777777,0.0841824429937921
198,2,1.98,87707.42485509027,0.0877074248550902,167.08722399721992,0.375,0.0841824429937921
199,2,1.99,88410.80504901904,0.088410805049019,167.75587409259492,0.3722222222222222,0.0841824429937921
200,2,2.0,81684.58951178525,0.0816845895117852,161.24829422498092,0.3583333333333333,0.0841824429937921
201,2,2.01,83237.65040723125,0.0832376504072312,162.77397527655313,0.3722222222222222,0.084510665863124
202,2,2.02,84516.46421660882,0.0845164642166088,164.01959061479567,0.3638888888888889,0.084510665863124
203,2,2.03,82631.70195169601,0.082631701951696,162.1804169541356,0.3694444444444444,0.0841824429937921
204,2,2.04,80457.23442237104,0.080457234422371,160.0322877785839,0.375,0.0841824429937921
205,2,2.05,89093.05881784807,0.089093058817848,168.40190441938293,0.3666666666666666,0.0841824429937921
