frame,body_radius_px,body_radius_std_px,neck_radius_px,neck_radius_std_px
0,231.78905492435345,11.638403627919756,272.9294894891501,8.50586784149025
1,231.2193806132174,11.001622092098444,272.9274101255602,8.287161307395984
2,231.68904341944628,10.989460787400741,272.74835672884535,8.223900236125624
3,231.12622568995658,12.151376914327916,272.11180469965933,8.765223492017423
4,231.75302301503237,10.995676236960268,272.73223367671875,8.401383525064883
5,231.3559606914014,12.135320952778716,272.807231762431,8.554625332120096
6,231.76241743516832,11.084307105315576,273.0071446178674,8.466001755315174
7,231.05070623554846,11.551354389237419,272.3305415691554,9.56165835093486
8,231.05189786665503,11.820829251537484,272.51854549303727,8.499288812799316
9,231.02004686195457,11.988306215521364,272.3938816038517,8.677083085273928
10,231.37773783891788,10.748901769837918,272.26727293581297,10.580724094314652
11,231.30652200917714,11.555770559580386,272.8493240444575,8.440951284218812
12,231.32307065021902,11.71820884962399,272.87780815680617,8.231258896999915
13,231.4052465719483,10.79247062859013,271.98914700132815,8.8525985716567
14,231.16221369225332,11.042358865510472,272.8855181255617,8.282749654075449
15,231.68062779270682,11.383036956430633,272.7379912128689,8.517084477441315
16,231.97555644415422,11.075696028630183,272.4792526817533,8.743032762495842
17,231.20081730526655,11.75649578730473,272.75678444690266,8.403117068664871
18,232.2198847448355,11.69495762412726,272.6724813241048,8.634396608424106
19,231.2228624456472,11.657144942343201,272.7918288356931,8.514649542943868
20,231.6318020017921,10.836665744787082,272.68667993535126,8.467738615606585
21,231.51424202805862,11.057764370179502,272.16875933808456,8.975151741301662
22,231.4847666286807,11.025985384846264,272.55529301896235,8.824249087817513
23,230.97157390597297,11.883681669876463,272.54973206520765,8.508052422660798
24,231.38009339670364,11.069648517730839,272.0559643570646,11.156318837591837
25,230.81605034971932,12.228698872742319,272.92267867433975,8.745751531323542
26,231.7199490428197,11.237956360698552,272.43091048554777,9.1912709423696
27,231.78858956047569,11.736822480057642,272.71590291774044,8.931117232135318
28,231.55110819950238,11.990043476317938,272.59566257341083,8.552167276405974
29,231.5687849807168,10.71156694453782,271.9172797649134,9.104106807123973
30,231.3462435983674,11.150404890166987,272.406934664244,8.874299767831076
31,231.49385394887864,11.788614527243363,272.5656275225978,8.595398241667786
32,231.4681666330941,11.83063792289198,272.76932036176987,8.586570893979578
33,232.24672873914142,11.290864441833236,272.29041317528237,10.167082478188345
34,231.0936019358325,12.719815704224894,272.58155681209416,8.458169242754499
35,231.7249885904655,10.792406000680735,272.0576087697686,8.636962898583658
36,231.58715355561543,10.934171488769172,272.6655926843572,8.454204860251304
37,231.38303408633863,10.787709399333671,271.6848052943043,10.964558171310962
38,231.33235839797172,11.060880960783404,272.66730857079267,8.727521212650334
39,231.40618375429196,11.700428020342308,272.7145174790563,8.60599897728373
40,232.12867113562083,10.853494502087143,272.22917598089145,10.114984746337552
41,231.61706592819218,11.447855880173138,272.6322306021891,8.946971987890192
42,231.86241713488454,10.880429431499334,272.1929205256103,8.782336227336648
43,231.81110882428442,11.241589770057228,272.5644692661314,8.466082544265479
44,231.42357650344613,12.213137164426156,271.64216107423425,12.027853705405455
45,231.20735060621593,12.263291087672572,272.7478560423123,8.455464583410375
46,232.0147188809352,11.173770182275003,272.8985285809802,8.924710987609453
47,230.97512825112088,12.267969777415827,272.4610180815696,8.908738048828106
48,231.04561625926834,10.923306926774348,272.6021470728611,8.705587076029282
49,231.54444135650766,10.957760967577151,272.8324167699791,8.30326009684221
50,231.3655168267711,11.582059660301065,272.59292019434906,9.005567180443421
51,231.59116171812812,10.884567449430731,272.49855964606235,8.559698598996988
52,231.514299403125,11.705100185050624,272.7304252762724,8.611879200162509
