frame,time_s,radius_mm,coverage,radius_mm_smoothed
0,0.0,0.14172364672364673,0.9090909090909091,0.1426103988603989
1,0.01,0.13931623931623932,0.9090909090909091,0.14280626780626782
2,0.02,0.14223646723646724,0.9090909090909091,0.14289173789173792
3,0.03,0.14566239316239316,0.9090909090909091,0.142977207977208
4,0.04,0.1460826210826211,0.9090909090909091,0.14289173789173792
5,0.05,0.14594729344729346,0.9090909090909091,0.142977207977208
6,0.06,0.13987179487179488,0.9090909090909091,0.1430306267806268
7,0.07,0.1434116809116809,0.9090909090909091,0.1430840455840456
8,0.08,0.1384900284900285,0.9090909090909091,0.14324786324786326
9,0.09,0.1438817663817664,0.9090909090909091,0.1430840455840456
10,0.1,0.14363960113960114,0.9090909090909091,0.14324786324786326
11,0.11,0.13975071225071223,0.9090909090909091,0.1434116809116809
12,0.12,0.14241452991452994,0.9090909090909091,0.14352564102564103
13,0.13,0.13896723646723647,0.9090909090909091,0.14363960113960114
14,0.14,0.1438105413105413,0.9090909090909091,0.14352564102564103
15,0.15,0.14280626780626782,0.9090909090909091,0.1434116809116809
16,0.16,0.14594017094017095,0.9090909090909091,0.1434116809116809
17,0.17,0.142977207977208,0.9090909090909091,0.1434116809116809
18,0.18,0.14600427350427353,0.9090909090909091,0.143482905982906
19,0.19,0.13982193732193732,0.9090909090909091,0.1434116809116809
20,0.2,0.14534188034188034,0.9090909090909091,0.1430840455840456
21,0.21,0.1430840455840456,0.9090909090909091,0.142977207977208
22,0.22,0.14574074074074075,0.9090909090909091,0.142977207977208
23,0.23,0.1448005698005698,0.9090909090909091,0.14293447293447295
24,0.24,0.14293447293447295,0.9090909090909091,0.142977207977208
25,0.25,0.14716524216524215,0.9090909090909091,0.14293447293447295
26,0.26,0.14465099715099716,0.9090909090909091,0.14280626780626782
27,0.27,0.14429487179487183,0.9090909090909091,0.14280626780626782
28,0.28,0.1466737891737892,0.9090909090909091,0.14280626780626782
29,0.29,0.1407122507122507,0.9090909090909091,0.14293447293447295
30,0.3,0.14155270655270658,0.9090909090909091,0.14280626780626782
31,0.31,0.13853988603988604,0.9090909090909091,0.14203703703703704
32,0.32,0.1412678062678063,0.9090909090909091,0.1419871794871795
33,0.33,0.143482905982906,0.9090909090909091,0.1416880341880342
34,0.34,0.1405769230769231,0.9090909090909091,0.14155270655270658
35,0.35,0.13900997150997155,0.9090909090909091,0.1416880341880342
36,0.36,0.13945868945868947,0.9090909090909091,0.14155270655270658
37,0.37,0.1394729344729345,0.9090909090909091,0.14144586894586897
38,0.38,0.14203703703703704,0.9090909090909091,0.14144586894586897
39,0.39,0.14364672364672365,0.9090909090909091,0.14144586894586897
40,0.4,0.14002849002849005,0.9090909090909091,0.14144586894586897
41,0.41,0.13504985754985757,0.9090909090909091,0.14144586894586897
42,0.42,0.1363960113960114,0.9090909090909091,0.14144586894586897
43,0.43,0.13793447293447295,0.9090909090909091,0.14144586894586897
44,0.44,0.14477920227920227,0.9090909090909091,0.1412678062678063
45,0.45,0.1419871794871795,0.9090909090909091,0.1412678062678063
46,0.46,0.1416880341880342,0.9090909090909091,0.1412678062678063
47,0.47,0.13643162393162392,0.9090909090909091,0.1412678062678063
48,0.48,0.14144586894586897,0.9090909090909091,0.1412678062678063
49,0.49,0.14006410256410257,0.9090909090909091,0.1412678062678063
50,0.5,0.1431054131054131,0.9090909090909091,0.14144586894586897
51,0.51,0.1412678062678063,0.9090909090909091,0.1416880341880342
