frame,time_s,area_px2,area_mm2,coverage,area_mm2_smoothed
0,0.0,619937.018331511,0.06973156139245579,0.7138888888888889,0.07103263063840581
1,0.05,636522.9081611936,0.07159717025385234,0.7027777777777777,0.07127241791931149
2,0.1,631503.9612318366,0.07103263063840581,0.7055555555555556,0.07151220520021716
3,0.15,635767.5402766782,0.07151220520021716,0.7111111111111111,0.07127241791931149
4,0.2,637988.2074302579,0.07176198958697441,0.7055555555555556,0.07127241791931149
5,0.25,625106.3218840149,0.07031301337446166,0.7055555555555556,0.07073512488166968
6,0.3,626214.1088870871,0.07043761912493354,0.7,0.07059846385461288
7,0.35,625476.6114647259,0.07035466417102133,0.7055555555555556,0.07059846385461288
8,0.4,629074.0363041874,0.07075930858429222,0.7166666666666667,0.07059846385461288
9,0.45,629221.2854200082,0.07077587141318649,0.7083333333333334,0.07076758999873936
10,0.5,635133.8349414449,0.07144092495531827,0.7166666666666667,0.07082669878204681
11,0.55,630125.0302056315,0.07087752615090712,0.7083333333333334,0.07082669878204681
12,0.6,630385.9092373487,0.07090687026438683,0.7166666666666667,0.07086046319898726
13,0.65,629003.5666107051,0.07075138203431687,0.7166666666666667,0.07086046319898726
14,0.7,629821.639450401,0.07084340024706741,0.7222222222222222,0.07079739114069214
15,0.75,626396.529218898,0.07045813807152128,0.7194444444444444,0.07060476005291907
16,0.8,618060.7947394646,0.06952052059842985,0.7222222222222222,0.07060476005291907
17,0.85,626250.7647739255,0.07044174224090805,0.7194444444444444,0.07065076915929434
18,0.9,633439.6889534623,0.07125036455728503,0.725,0.07068201046767707
19,0.95,630377.1309145476,0.07090588286383286,0.7194444444444444,0.07107812371055894
20,1.0,633605.3071017067,0.07126899356592707,0.725,0.07107812371055894
21,1.05,640022.4763139787,0.07199080758196318,0.7305555555555555,0.07125967906160605
22,1.1,628028.0223043897,0.0706416511654135,0.7277777777777777,0.07108743821487996
23,1.15,635984.4474681746,0.07153660328694701,0.725,0.07104603551148611
24,1.2,621054.9476764965,0.06985730797065189,0.7194444444444444,0.07093464405255333
25,1.25,629640.9630163875,0.07082307745704514,0.7222222222222222,0.0707931338682613
26,1.3,631624.692082068,0.07104621064806152,0.7194444444444444,0.0707931338682613
27,1.35,629108.5458790653,0.07076319027947749,0.7138888888888889,0.07031024912506469
28,1.4,615750.5577651274,0.06926066124716755,0.7166666666666667,0.07021620864663669
29,1.45,612138.5873993253,0.06885438072856175,0.7166666666666667,0.06951859282304462
30,1.5,619382.8447539471,0.06966922701379588,0.7083333333333334,0.06948086183306582
31,1.55,616704.4675827392,0.06936795863229335,0.7166666666666667,0.0694060167896762
32,1.6,618711.962388514,0.06959376503383827,0.7055555555555556,0.06945478789139262
33,1.65,617381.1672045452,0.06944407494705904,0.7083333333333334,0.06945478789139262
34,1.7,617571.6505562754,0.06946550083572618,0.7138888888888889,0.06943233543408808
35,1.75,617172.4307723601,0.06942059592111711,0.7111111111111111,0.06943233543408808
36,1.8,602294.9619288768,0.0677471531336291,0.7277777777777777,0.06943233543408808
37,1.85,609419.8679873146,0.06854857458377349,0.7277777777777777,0.06944304837842165
38,1.9,623795.9438153274,0.07016561983924426,0.7222222222222222,0.06959408036107342
39,1.95,620257.1007348788,0.06976756480102972,0.7194444444444444,0.06979736076202717
40,2.0,620786.8929509207,0.06982715672302463,0.7277777777777777,0.06999638828113444
41,2.05,628709.3277104989,0.07071828554656559,0.725,0.06999638828113444
42,2.1,631579.0711564699,0.07104107912940713,0.7277777777777777,0.0702727211347951
43,2.15,614936.1696076246,0.0691690574936846,0.7194444444444444,0.0702727211347951
44,2.2,631782.1565167994,0.07106392251325575,0.7138888888888889,0.07080702320197596
45,2.25,616380.4107206975,0.06933150816990456,0.7194444444444444,0.07058327607074971
46,2.3,630287.1428751192,0.07089576085738634,0.7222222222222222,0.07028195414064262
47,2.35,624730.9533095022,0.07027079128411308,0.7277777777777777,0.07059443892727923
48,2.4,624929.4364025176,0.07029311699717214,0.7111111111111111,0.07034970780210542
49,2.45,630788.2067522533,0.07095212136736839,0.725,0.07065102973221252
50,2.5,625935.6589558278,0.07040629860703869,0.7111111111111111,0.07034970780210542
51,2.55,636108.7641048771,0.07155058663191267,0.7222222222222222,0.07034970780210542
52,2.6,624497.2331389759,0.07024450204514558,0.7222222222222222,0.07067920998720353
53,2.65,624577.5072571462,0.07025353141334573,0.7194444444444444,0.07088564467476942
54,2.7,638171.6369999629,0.07178262205434262,0.7138888888888889,0.07114303838831668
55,2.75,634458.754267159,0.07136499074250015,0.7166666666666667,0.07114303838831668
56,2.8,630512.2922084722,0.0709210860341332,0.7277777777777777,0.07114303838831668
57,2.85,637001.4062810546,0.07165099252939747,0.7222222222222222,0.07114303838831668
