frame,area_px2,coverage,r_eff_px
0,197375.97910308983,0.8333333333333334,250.65259911622456
1,198555.9601270753,0.8277777777777777,251.40072607127175
2,199282.15585598143,0.8305555555555556,251.8600411914877
3,196208.7567634677,0.8194444444444444,249.91035799590716
4,193735.22262315746,0.825,248.3300961683231
5,198699.02648603162,0.825,251.4912811721288
6,197188.3492232515,0.8305555555555556,250.53343289473915
7,201174.6783714134,0.8222222222222222,253.05313468808345
8,197464.00055994705,0.8222222222222222,250.70848319040329
9,197996.69115398498,0.8333333333333334,251.0464184687607
10,195909.29755226427,0.8277777777777777,249.71957513620677
11,196733.12649005718,0.825,250.2440790540935
12,199235.64241788592,0.8194444444444444,251.83064678825667
13,195990.58606875298,0.825,249.77137775301475
14,194156.0224677958,0.8194444444444444,248.59964081555222
15,198021.61201464492,0.8222222222222222,251.0622169549062
16,198477.9118871543,0.8333333333333334,251.3513110027408
17,198251.6423252163,0.8277777777777777,251.2079968955789
18,196194.1142795423,0.8277777777777777,249.90103278348158
19,190259.8441012556,0.8222222222222222,246.09264377712805
20,193851.21418666907,0.8166666666666667,248.404424123944
21,198985.24434122743,0.8277777777777777,251.6723474649328
22,191597.56875478543,0.8333333333333334,246.95627204715163
23,193477.21787164605,0.8388888888888889,248.16468564217618
24,192451.63844995145,0.8277777777777777,247.50607897764468
25,192715.276894365,0.8305555555555556,247.67554956863026
26,199302.8043553832,0.8305555555555556,251.8730890160208
27,195706.32394249574,0.8361111111111111,249.59017949347265
28,197960.21461468365,0.825,251.02329251071248
29,195417.4688671288,0.8277777777777777,249.40591868161474
30,196492.4066223376,0.8194444444444444,250.09093463765416
31,198023.19239716217,0.8277777777777777,251.06321879895427
32,197364.17466345627,0.8361111111111111,250.64510363037724
33,193406.10663829403,0.8277777777777777,248.11907583111272
34,195456.8052235806,0.8277777777777777,249.4310193712187
35,197512.00464488872,0.8305555555555556,250.73895532694328
36,198491.05890872565,0.8305555555555556,251.3596355219679
37,197124.085808771,0.825,250.49260531575317
38,198833.4171901578,0.825,251.57631525112475
39,196706.0862618905,0.825,250.2268809094684
40,191016.69391616574,0.8277777777777777,246.58163374359148
41,190145.73955237571,0.8305555555555556,246.01883813084197
42,200932.35705045343,0.825,252.90068347746833
43,198722.3263268864,0.8333333333333334,251.50602592242063
44,198731.69587135784,0.8416666666666667,251.51195497217148
45,200319.52604009738,0.8277777777777777,252.5147234008629
46,196924.93070429788,0.8361111111111111,250.36603659289716
47,198264.1762727251,0.8333333333333334,251.21593775812502
48,198446.2340452216,0.8333333333333334,251.33125188192648
49,194683.31468915349,0.8194444444444444,248.9369874899822
50,196957.77358612776,0.8277777777777777,250.3869135821861
51,199528.29647577435,0.825,252.01553392925877
52,200380.79812890163,0.8305555555555556,252.55333901144093
53,198803.2619312626,0.8277777777777777,251.5572373800971
54,195640.30587075316,0.8277777777777777,249.5480785233207
55,197389.2249166672,0.8305555555555556,250.66100956696675
56,199973.3779703691,0.825,252.29645891596724
57,189704.30332188288,0.825,245.73309748376153
58,197678.272935683,0.825,250.84447085627693
59,198760.78650197905,0.825,251.5303626388784
60,197659.80046221535,0.8333333333333334,250.83275023058403
61,200227.4680123338,0.8305555555555556,252.45669441287265
62,201791.5029345263,0.8277777777777777,253.44078269281195
63,198241.5937603515,0.8277777777777777,251.20163046196726
64,197173.2700545773,0.8333333333333334,250.52385345423363
65,197408.2927910366,0.8222222222222222,250.67311624913287
66,196229.55599802756,0.8222222222222222,249.92360359843553
67,201757.7642376746,0.8305555555555556,253.4195946867374
68,200670.36459414085,0.8194444444444444,252.73575313837327
69,198886.13164426727,0.825,251.60966183201535
70,196198.56151709906,0.8277777777777777,249.90386508801993
71,199974.57662963672,0.8277777777777777,252.2972150592063
72,198242.95437846665,0.8166666666666667,251.20249251340667
73,197404.58319280905,0.8333333333333334,250.67076097594966
74,196887.55789163543,0.825,250.34227797855274
75,200805.4381552905,0.8222222222222222,252.82079852001246
76,201097.0573317492,0.8277777777777777,253.00431109205297
77,195457.55550809557,0.825,249.4314981062814
78,196651.10350850667,0.8305555555555556,250.19190709475316
79,201099.5833408393,0.8305555555555556,253.005900098852
80,197797.7900732632,0.8305555555555556,250.92029022306212
81,198096.46408865906,0.8222222222222222,251.1096631702421
82,198362.58052845098,0.8305555555555556,251.27827289905954
83,195722.38855895065,0.8277777777777777,249.60042312828566
84,198441.53908165905,0.8194444444444444,251.3282787893538
85,195971.36008949328,0.8305555555555556,249.75912661075924
86,199038.4697900552,0.8194444444444444,251.7060044279205
87,195024.78368461644,0.8222222222222222,249.15520604167327
88,200280.99198782886,0.8277777777777777,252.49043499590732
89,198316.14912634596,0.825,251.24886239904617
90,201398.11957202642,0.8305555555555556,253.19362653629574
91,197353.1434263074,0.8277777777777777,250.63809890366073
92,198022.01831788727,0.8305555555555556,251.0624745210865
93,200757.00812086737,0.8305555555555556,252.79030916067893
94,197533.4239362628,0.8222222222222222,250.75255071613188
95,201450.51928877173,0.8222222222222222,253.2265623240865
96,200178.93424127478,0.8277777777777777,252.42609566907439
97,199111.2288244153,0.8305555555555556,251.75200611914562
98,198303.73762019025,0.825,251.24100014070763
99,198427.12286957173,0.8361111111111111,251.31914948206875
100,199053.27933600047,0.8361111111111111,251.71536840239335
101,196936.22681435206,0.8277777777777777,250.3732173031724
102,196406.25011573723,0.8361111111111111,250.03609963388374
103,197010.19793226573,0.8361111111111111,250.42023416821888
104,197533.16494272297,0.8305555555555556,250.75238633050355
105,198843.3718629627,0.8333333333333334,251.58261280561663
106,198888.90772844918,0.8277777777777777,251.6114178296786
107,198478.48334294365,0.8333333333333334,251.35167284667867
108,197591.0434049209,0.8277777777777777,250.7891196546549
109,197604.355467439,0.8305555555555556,250.7975675684711
110,196586.09854264293,0.8333333333333334,250.1505519730551
111,196710.88360803828,0.8388888888888889,250.22993220713536
112,196762.96973791148,0.8361111111111111,250.2630586052589
113,197477.7058592177,0.8305555555555556,250.7171834475724
114,197857.29054066844,0.825,250.95802763138178
115,196806.76487427758,0.8333333333333334,250.2909085990367
116,197896.13115815548,0.8277777777777777,250.98265873395513
117,197701.05804535735,0.8305555555555556,250.8589270582825
118,197681.82812249442,0.825,250.8467265289202
119,198515.82979258304,0.8361111111111111,251.3753193671922
120,199647.12675391947,0.8305555555555556,252.09056744345065
121,201107.91437529933,0.8277777777777777,253.0111407338836
122,197981.0341319997,0.8277777777777777,251.03649224984403
123,199585.54989128883,0.8194444444444444,252.05168848834444
124,199474.5301943629,0.8277777777777777,251.9815767129271
125,195113.2609031557,0.8277777777777777,249.21171696176677
126,197253.3323561949,0.8277777777777777,250.57471095797723
127,199696.38291918387,0.8222222222222222,252.12166292946765
128,198543.44169070185,0.8305555555555556,251.39280086570776
129,200831.4658711761,0.8166666666666667,252.83718287383664
130,197005.89229619017,0.8222222222222222,250.4174977000138
131,197106.4605231868,0.825,250.48140652596436
132,197696.4162072423,0.8277777777777777,250.8559820731222
133,193660.09523118573,0.825,248.28194229822836
