frame,area_px2,coverage,r_eff_px,area_um2,r_eff_um
0,197375.97910308983,0.8333333333333334,250.65259911622456,84023.13334067787,163.54019081093384
1,198555.9601270753,0.8277777777777777,251.40072607127175,84525.4523329298,164.02831192122994
2,199282.15585598143,0.8305555555555556,251.8600411914877,84834.59451344529,164.32799555773448
3,196208.7567634677,0.8194444444444444,249.91035799590716,83526.24573193262,163.05590995818216
4,193735.22262315743,0.825,248.3300961683231,82473.26000470055,162.0248561341821
5,198699.0264860316,0.825,251.4912811721288,84586.35581171063,164.08739528412056
6,197188.3492232515,0.8305555555555556,250.53343289473915,83943.25913063473,163.46243990522345
7,201174.6783714134,0.8222222222222222,253.05313468808345,85640.24306494062,165.10643846547418
8,197464.00055994705,0.8222222222222222,250.70848319040329,84060.60415470481,163.5766527993062
9,197996.69115398495,0.8333333333333334,251.0464184687607,84287.37102378158,163.79714123668597
10,195909.29755226427,0.8277777777777777,249.71957513620677,83398.7656740888,162.93143223327976
11,196733.1264900572,0.825,250.2440790540935,83749.47040018889,163.2736487956243
12,199235.64241788592,0.8194444444444444,251.83064678825667,84814.79370065646,164.30881695623532
13,195990.58606875295,0.825,249.77137775301475,83433.37026929352,162.96523124381127
14,194156.0224677958,0.8194444444444444,248.59964081555225,82652.39488026369,162.20072258517982
15,198021.61201464492,0.8222222222222222,251.0622169549062,84297.97985676983,163.80744907888618
16,198477.9118871543,0.8333333333333334,251.3513110027408,84492.22712639916,163.99607068469388
17,198251.6423252163,0.8277777777777777,251.2079968955789,84395.90396863676,163.90256430768522
18,196194.1142795423,0.8277777777777777,249.9010327834816,83520.01241324362,163.04982565255435
19,190259.8441012556,0.8222222222222222,246.09264377712805,80993.78821546846,160.56501333870904
20,193851.2141866691,0.8166666666666667,248.404424123944,82522.6377185015,162.07335197299523
21,198985.24434122743,0.8277777777777777,251.6723474649328,84708.19901229098,164.2055333612002
22,191597.56875478543,0.8333333333333334,246.95627204715163,81563.25881390405,161.12849415864613
23,193477.21787164605,0.8388888888888889,248.16468564217615,82363.42714795031,161.9169327808892
24,192451.63844995145,0.8277777777777777,247.50607897764468,81926.83705784875,161.48721986362202
25,192715.276894365,0.8305555555555556,247.67554956863023,82039.06818277767,161.59779223703583
26,199302.8043553832,0.8305555555555556,251.8730890160208,84843.38459837055,164.33650870988743
27,195706.32394249577,0.8361111111111111,249.59017949347265,83312.35962429635,162.84700706403174
28,197960.21461468365,0.825,251.02329251071248,84271.84292791375,163.78205252982545
29,195417.4688671288,0.8277777777777777,249.4059186816147,83189.39375669695,162.7267846987482
30,196492.4066223376,0.8194444444444444,250.09093463765416,83646.99573414764,163.17372855871304
31,198023.19239716217,0.8277777777777777,251.06321879895427,84298.65262704097,163.8081027396396
32,197364.17466345627,0.8361111111111111,250.64510363037724,84018.10818001826,163.53530032430007
33,193406.10663829403,0.8277777777777777,248.11907583111272,82333.15503140852,161.8871743134707
34,195456.8052235806,0.8277777777777777,249.4310193712187,83206.13927931985,162.74316183420098
35,197512.00464488872,0.8305555555555556,250.73895532694328,84081.03953720818,163.59653457608306
36,198491.05890872565,0.8305555555555556,251.3596355219679,84497.82382540753,164.00150208044883
37,197124.085808771,0.825,250.49260531575317,83915.9021367981,163.43580164142224
38,198833.4171901578,0.825,251.57631525112475,84643.56605636074,164.14287641439196
39,196706.0862618905,0.825,250.2268809094684,83737.95935053058,163.26242773562532
40,191016.69391616576,0.8277777777777777,246.58163374359148,81315.97986820168,160.88405855388746
41,190145.73955237571,0.8305555555555556,246.01883813084197,80945.21380550793,160.51685828458588
42,200932.35705045343,0.825,252.90068347746833,85537.08665880229,165.00697051596455
43,198722.3263268864,0.8333333333333334,251.50602592242063,84596.27457509741,164.09701560836493
44,198731.69587135784,0.8416666666666667,251.51195497217148,84600.26319867787,164.10088406187788
45,200319.52604009735,0.8277777777777777,252.5147234008629,85276.20394180481,164.7551479344473
46,196924.93070429788,0.8361111111111111,250.36603659289716,83831.12162817358,163.35322091750575
47,198264.1762727251,0.8333333333333334,251.21593775812505,84401.2396814606,163.90774538372665
48,198446.2340452216,0.8333333333333334,251.33125188192648,84478.74184035395,163.98298295906469
49,194683.31468915349,0.8194444444444444,248.9369874899822,82876.86365719374,162.42082698345945
50,196957.77358612776,0.8277777777777777,250.3869135821861,83845.1028727598,163.36684226762904
51,199528.29647577435,0.825,252.01553392925877,84939.37679856124,164.429447974723
52,200380.79812890163,0.8305555555555556,252.55333901144093,85302.2875255877,164.78034298267133
53,198803.2619312626,0.8277777777777777,251.5572373800971,84630.72893529572,164.13042891263404
54,195640.30587075316,0.8277777777777777,249.5480785233207,83284.25567127162,162.81953796649893
