frame,time_s,area_px2,area_mm2,coverage,area_mm2_smoothed
0,0.0,174450.10467671073,0.056105107617911466,0.5638888888888889,0.056295552564738255
1,0.01,175734.00799043805,0.0565180253041528,0.5638888888888889,0.05628261373949874
2,0.02,174991.1344531741,0.056279108853905135,0.5666666666666667,0.05628086129670194
3,0.03,174424.78009441515,0.05609696294859353,0.55,0.05628261373949874
4,0.04,175479.43237878082,0.056436150936032506,0.5583333333333333,0.056295552564738255
5,0.05,176922.83489342744,0.056900365351783576,0.5694444444444444,0.05630849138997777
6,0.06,174678.37106854623,0.05617852064625683,0.55,0.05631657138578038
7,0.07,175252.64581326305,0.056363213836405926,0.5611111111111111,0.056324651381583
8,0.08,175082.49487847523,0.05630849138997777,0.5611111111111111,0.056343932608994465
9,0.09,175461.24886742074,0.05643030291511203,0.5694444444444444,0.056363213836405926
10,0.1,176549.3201955199,0.056780238841330564,0.5888888888888889,0.05639675837575898
11,0.11,174352.54077152425,0.056073729973224726,0.5805555555555556,0.05643030291511203
12,0.12,173581.97521487993,0.05582590745937583,0.5611111111111111,0.05643322692557227
13,0.13,175002.032349723,0.05628261373949874,0.5694444444444444,0.056436150936032506
14,0.14,175873.38853739214,0.0565628516492054,0.5638888888888889,0.05647708812009265
15,0.15,173631.41821092734,0.055841808880698174,0.575,0.0565180253041528
16,0.16,173839.76288334045,0.05590881486094117,0.5861111111111111,0.05656275855086086
17,0.17,173136.78211862317,0.05568272837316934,0.5833333333333334,0.0565628516492054
18,0.18,176205.3376627518,0.05666961020596574,0.5805555555555556,0.056572397182520495
19,0.19,175903.06888837466,0.056572397182520495,0.5777777777777777,0.056572397182520495
20,0.2,175132.74185859523,0.056324651381583,0.575,0.056606848741817546
21,0.21,176010.19065287738,0.056606848741817546,0.55,0.056606848741817546
22,0.22,176341.05784344353,0.056713259336229914,0.5722222222222222,0.056607915489674046
23,0.23,176322.28012400717,0.05670722021133659,0.5777777777777777,0.05666961020596574
24,0.24,176013.50753939862,0.056607915489674046,0.5611111111111111,0.05670722021133659
25,0.25,176461.55830660893,0.05675201363486695,0.575,0.056713259336229914
26,0.26,175873.09906257174,0.05656275855086086,0.5611111111111111,0.056713259336229914
27,0.27,177259.39903132693,0.057008608148267845,0.5805555555555556,0.05675201363486695
28,0.28,177008.33639182113,0.05692786359133901,0.575,0.056817814567860406
29,0.29,176666.1560720514,0.056817814567860406,0.5833333333333334,0.05684847629091752
30,0.3,177082.48561426133,0.056951710811794974,0.5638888888888889,0.05690984128414141
31,0.31,178768.91839196172,0.05749408648224011,0.5777777777777777,0.05692786359133901
32,0.32,178262.36221109377,0.05733117234071647,0.5888888888888889,0.056951710811794974
33,0.33,177685.50193351178,0.05714564761423829,0.5805555555555556,0.057008608148267845
34,0.34,175753.38823553527,0.05652425820804733,0.5972222222222222,0.057074588302506134
35,0.35,178308.95863143215,0.0573461582714073,0.5888888888888889,0.05712103592696507
36,0.36,178437.4351898993,0.05738747777163079,0.5888888888888889,0.05714564761423829
37,0.37,176952.2988310602,0.05690984128414141,0.5944444444444444,0.057243120575187434
38,0.38,178945.756013882,0.05755095944214528,0.5972222222222222,0.057270202878239675
39,0.39,178072.7871516608,0.057270202878239675,0.5972222222222222,0.05732879722670522
40,0.4,177608.97572042036,0.05712103592696507,0.5944444444444444,0.05733117234071647
41,0.41,176761.49393029613,0.05684847629091752,0.5972222222222222,0.0573320753558982
42,0.42,178254.97716353796,0.05732879722670522,0.6,0.0573461582714073
43,0.43,178916.74056604726,0.05754162774912987,0.5972222222222222,0.05738747777163079
44,0.44,178684.23595353783,0.05746685166154496,0.5944444444444444,0.05739174059278511
45,0.45,177988.57894312256,0.057243120575187434,0.5833333333333334,0.05746685166154496
46,0.46,178265.16999633235,0.0573320753558982,0.5861111111111111,0.05749408648224011
47,0.47,177464.55405735134,0.057074588302506134,0.5916666666666667,0.05754162774912987
48,0.48,178450.6897691731,0.05739174059278511,0.5722222222222222,0.05754162774912987
49,0.49,180465.73083801768,0.05803980037028737,0.5916666666666667,0.05755095944214528
50,0.5,179499.92201887784,0.057729185436369235,0.6027777777777777,0.05762623347969023
51,0.51,179428.15443191674,0.0577061041765592,0.6083333333333333,0.0577061041765592
52,0.52,179179.80892433328,0.05762623347969023,0.6138888888888889,0.057729185436369235
53,0.53,180345.44211258457,0.05800111416887664,0.6055555555555555,0.05779828349960358
54,0.54,181316.4190416553,0.05831339122483472,0.5972222222222222,0.057816102391473397
55,0.55,179770.176770359,0.057816102391473397,0.6083333333333333,0.05800111416887664
56,0.56,187941.4127041048,0.06044406339088779,0.6138888888888889,0.05803980037028737
57,0.57,186213.7788034998,0.059888436977837335,0.6083333333333333,0.05803980037028737
58,0.58,180740.15699678723,0.05812805889669794,0.6111111111111112,0.05808154116272931
59,0.59,180595.5173391037,0.05808154116272931,0.6194444444444445,0.05808440364258504
60,0.6,180604.4177749405,0.05808440364258504,0.6166666666666667,0.05810159816500051
61,0.61,180948.5076951607,0.05819506681495728,0.5944444444444444,0.05810159816500051
62,0.62,179714.77169791743,0.05779828349960358,0.6055555555555555,0.05810414044070232
63,0.63,178211.37883882315,0.05731477551714753,0.6166666666666667,0.05810414044070232
64,0.64,181403.15516256168,0.058341286532818816,0.6222222222222222,0.05810414044070232
65,0.65,181617.63737237998,0.0584102664138357,0.6222222222222222,0.05810414044070232
