x,y,uMBx,uMBy
3930.0,140.0,0.0,0.0
3930.0000001670046,140.0000000897205,8.905199702995431e-06,4.784176810346654e-06
3930.0000200840313,140.0000107898364,9.706133336894459e-05,5.214473475383009e-05
3930.001928180049,140.00103589396758,0.0008973683978090848,0.00048210355919131993
3930.0084798344965,140.00455573567066,0.001757889891341444,0.0009444206872025835
3930.0212399566594,140.01141109123606,0.002587562904106188,0.001390166500702521
3930.0420503238065,140.02259144892437,0.0033734917967093827,0.0018124052413556512
3930.0730338784083,140.03923729306698,0.004106382660336185,0.002206138534070533
3930.116744848122,140.06272074575645,0.004781977730578606,0.00256907770557933
3930.176293343928,140.0947125175022,0.005398975333784065,0.0029005265866081445
3930.2554990772933,140.13726453362534,0.005958050997849179,0.0032008559628871804
3930.3590702394886,140.19290615435477,0.00646123112907068,0.0034711694733639926
3930.402237154915,140.21609674181258,0.0066251125884029295,0.003559215545764235
3930.446455286854,140.23985336756144,0.006781018071693584,0.003643397418849378
3930.489429461013,140.26294440133174,0.006916534016420964,0.0037166145713663982
3930.534296835202,140.28705521666402,0.007043446476094202,0.0037851909686968384
3930.579946969306,140.3115890009462,0.007161114939666419,0.003848769686656172
3930.6251505918185,140.33588481382222,0.0072680708647645444,0.003906551414367967
3930.6964042181853,140.37418529437684,0.007417830849347017,0.003987452527488319
3930.7370455452838,140.3960325749817,0.007494522472875118,0.004028876368869073
3930.778089654614,140.41809719807077,0.007564637155219632,0.0040665650003105114
3930.8155022989076,140.4382088410996,0.007622549454590543,0.0040975012542088934
3931.1198272518513,140.6017696017769,0.007988779327636437,0.004292871313701457
3931.281935046814,140.68886516115305,0.008122833409062568,0.004363349714241477
3931.3713779174677,140.73690687708157,0.008187181179104408,0.0043971260892815035
3931.461503014944,140.78530674897203,0.008248110566834502,0.004429120235553649
3931.5534886608116,140.83469793075977,0.008307118584661873,0.004460130434219599
3931.599426179116,140.85936114198105,0.008335014065866444,0.004474800733474513
