x,y,u,v
0,0,0,0
1.0000000000000026e-05,0,0,0
1.9999999999899872e-05,0,0,0
2.99999999998999e-05,0,0,0
3.9999999999899925e-05,0,0,0
4.999999999989995e-05,0,0,0
5.999999999989998e-05,0,0,0
6.99999999999e-05,0,0,0
7.999999999990003e-05,0,0,0
8.99999999999998e-05,0,0,0
9.999999999999983e-05,0,0,0
0.00011,0,0,0
0.00012,0,0,0
0.00013,0,0,0
0.00014,0,0,0
0.00015,0,0,0
0.00016,0,0,0
0.00017,0,0,0
0.00018,0,0,0
0.00019,0,0,0
0.0002,0,0,0
0.00021,0,0,0
0.00022,0,0,0
0.00023,0,0,0
0.00024,0,0,0
0.00025,0,0,0
0.00026,0,0,0
0.00027,0,0,0
0.00028,0,0,0
0.00029,0,0,0
0.0003,0,0,0
0.00031,0,0,0
0.00032,0,0,0
0.00033,0,0,0
0.00034,0,0,0
0.00035,0,0,0
0.00036,0,0,0
0.00037,0,0,0
0.00038,0,0,0
0.00039,0,0,0
0.0004,0,0,0
0.00041,0,0,0
0.00042,0,0,0
0.00043,0,0,0
0.00044,0,0,0
0.00045,0,0,0
0,5e-06,0.3231340096146062,0.000313038
1.0000000000000026e-05,5e-06,0.3196791459380981,0.000812097
1.9999999999899872e-05,5e-06,0.3125732756346978,0.001577403
2.99999999998999e-05,5e-06,0.3134068817064402,0.00055673
3.9999999999899925e-05,5e-06,0.3092848406019902,0.001748233
4.999999999989995e-05,5e-06,0.2991203509119424,0.001590499
5.999999999989998e-05,5e-06,0.2992741425833264,0.001546785
6.99999999999e-05,5e-06,0.2947704210732872,0.001397507
7.999999999990003e-05,5e-06,0.2883711590773452,0.001697055
8.99999999999998e-05,5e-06,0.2777386734015123,0.002393281
9.999999999999983e-05,5e-06,0.2708008455403312,0.002646229
0.00011,5e-06,0.2620368615118617,0.002351725
0.00012,5e-06,0.2531615108626364,0.002830849
0.00013,5e-06,0.2426701200985991,0.002792739
0.00014,5e-06,0.2374833871370288,0.002164161
0.00015,5e-06,0.2282980348466517,0.002108582
0.00016,5e-06,0.2218010180314332,0.001873267
0.00017,5e-06,0.2183680160520244,0.001468346
0.00018,5e-06,0.2140302832497154,0.000750018
0.00019,5e-06,0.2105787513933287,0.000369512
0.0002,5e-06,0.2129187905682141,0.000253643
0.00021,5e-06,0.2131458885900993,-0.000570673
0.00022,5e-06,0.2171610497871206,-0.001078313
0.00023,5e-06,0.2217105989688287,-0.001803681
0.00024,5e-06,0.2308377588562961,-0.002092684
0.00025,5e-06,0.2402508475497169,-0.002290942
0.00026,5e-06,0.2521417151402447,-0.003464489
0.00027,5e-06,0.2631584623203342,-0.003910458
0.00028,5e-06,0.2756204910483998,-0.004134936
0.00029,5e-06,0.2878446966997485,-0.004570567
0.0003,5e-06,0.3004674903964824,-0.005272869
0.00031,5e-06,0.3150643609061351,-0.004645077
0.00032,5e-06,0.3283035413176125,-0.003938572
0.00033,5e-06,0.3395607266267048,-0.003061157
0.00034,5e-06,0.3500171589645251,-0.002133902
0.00035,5e-06,0.3525722547564733,-0.00212315
