x,y,u,v
0.0,0.0,3.549948958793807e-19,2.446280004195254e-22
0.0,5e-06,0.22193355922491784,0.0006147364229867462
0.0,1e-05,0.3814890414964966,0.0016750941952467715
0.0,1.5e-05,0.5008734489560877,0.0026365278891077597
0.0,2e-05,0.5872181321041895,0.0035878994815604116
0.0,2.5e-05,0.6501260026015975,0.0047160645212316575
0.0,2.9999999999999997e-05,0.698433479293318,0.004501400637065917
0.0,3.5e-05,0.7301423130718596,0.005186626452082443
0.0,4e-05,0.7525646098577222,0.006039600184668692
0.0,4.5e-05,0.7680679975587253,0.006401590763618772
0.0,5e-05,0.7773352937713515,0.006830239191196849
0.0,5.4999999999999995e-05,0.7824524478192915,0.007038306561583072
0.0,5.9999999999999995e-05,0.7798351688319971,0.006904347877766543
0.0,6.5e-05,0.7740277558395599,0.00679576304482561
0.0,7e-05,0.7601928058907409,0.006710979847621287
0.0,7.5e-05,0.7392615458390587,0.006036768816421973
0.0,7.999999999999999e-05,0.7089697844504051,0.005642599247612583
0.0,8.499999999999999e-05,0.666740917944772,0.004680488386706682
0.0,8.999999999999999e-05,0.604376900086053,0.0037851662351865044
0.0,9.5e-05,0.51817243260055,0.002717026100837427
0.0,0.0001,0.39853940381536795,0.0016068133023446566
0.0,0.000105,0.2330285986486823,0.0002781016408036309
0.0,0.00011,1.183658140129037e-16,3.5769246940189037e-20
1.0000000000000026e-05,0.0,4.589948904723668e-19,4.2767767864735265e-22
1.0000000000000026e-05,5e-06,0.22007153583377734,0.0006105830194273677
1.0000000000000026e-05,1e-05,0.38080798534091415,0.0017349888115291603
1.0000000000000026e-05,1.5e-05,0.49945590846106414,0.002521117740835143
1.0000000000000026e-05,2e-05,0.5864759045802408,0.0036587631156768264
1.0000000000000026e-05,2.5e-05,0.6497407340648162,0.004946323469899262
1.0000000000000026e-05,2.9999999999999997e-05,0.6958250805845952,0.005921468518288105
1.0000000000000026e-05,3.5e-05,0.7300472045612802,0.007330576306385918
1.0000000000000026e-05,4e-05,0.7514435516414941,0.007850179314340795
1.0000000000000026e-05,4.5e-05,0.7682578146310807,0.008202188988753589
1.0000000000000026e-05,5e-05,0.7775428082646433,0.008507536149524802
1.0000000000000026e-05,5.4999999999999995e-05,0.7815158054996396,0.009098288934442277
1.0000000000000026e-05,5.9999999999999995e-05,0.7803128729739517,0.009193818212471314
1.0000000000000026e-05,6.5e-05,0.7733758327051342,0.009100012893813667
1.0000000000000026e-05,7e-05,0.7612365009041219,0.00853782944995361
1.0000000000000026e-05,7.5e-05,0.7402596389843409,0.008300503696631168
