% Model,Aneuryzm_60cm.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 20 2024, 18:29"
% Dimension,3
% Nodes,2292
% Expressions,3
% Description,Arrow volume
% x,y,z,u2,v2,w2
0.0038,0,2.500000000000001E-5,0,0,0
0.00381,0,2.500000000000001E-5,0,0,0
0.0038199999999999996,0,2.500000000000001E-5,0,0,0
0.0038299999999999996,0,2.500000000000001E-5,0,0,0
0.0038399999999999997,0,2.500000000000001E-5,0,0,0
0.0038499999999999997,0,2.500000000000001E-5,0,0,0
0.0038599999999999997,0,2.500000000000001E-5,0,0,0
0.0038699999999999997,0,2.500000000000001E-5,0,0,0
0.0038799999999999998,0,2.500000000000001E-5,0,0,0
0.00389,0,2.500000000000001E-5,0,0,0
0.0039,0,2.500000000000001E-5,0,0,0
0.003909999999999999,0,2.500000000000001E-5,0,0,0
0.00392,0,2.500000000000001E-5,0,0,0
0.0039299999999999995,0,2.500000000000001E-5,0,0,0
0.00394,0,2.500000000000001E-5,0,0,0
0.0039499999999999995,0,2.500000000000001E-5,0,0,0
0.00396,0,2.500000000000001E-5,0,0,0
0.00397,0,2.500000000000001E-5,0,0,0
0.00398,0,2.500000000000001E-5,0,0,0
0.00399,0,2.500000000000001E-5,0,0,0
0.004,0,2.500000000000001E-5,0,0,0
0.00401,0,2.500000000000001E-5,0,0,0
0.00402,0,2.500000000000001E-5,0,0,0
0.00403,0,2.500000000000001E-5,0,0,0
0.00404,0,2.500000000000001E-5,0,0,0
0.00405,0,2.500000000000001E-5,0,0,0
0.00406,0,2.500000000000001E-5,0,0,0
0.00407,0,2.500000000000001E-5,0,0,0
0.004079999999999999,0,2.500000000000001E-5,0,0,0
0.00409,0,2.500000000000001E-5,0,0,0
0.0040999999999999995,0,2.500000000000001E-5,0,0,0
0.00411,0,2.500000000000001E-5,0,0,0
0.0041199999999999995,0,2.500000000000001E-5,0,0,0
0.00413,0,2.500000000000001E-5,0,0,0
0.00414,0,2.500000000000001E-5,0,0,0
0.00415,0,2.500000000000001E-5,0,0,0
0.00416,0,2.500000000000001E-5,0,0,0
0.00417,0,2.500000000000001E-5,0,0,0
0.00418,0,2.500000000000001E-5,0,0,0
0.00419,0,2.500000000000001E-5,0,0,0
0.0042,0,2.500000000000001E-5,0,0,0
0.00421,0,2.500000000000001E-5,0,0,0
0.00422,0,2.500000000000001E-5,0,0,0
0.004229999999999999,0,2.500000000000001E-5,0,0,0
0.00424,0,2.500000000000001E-5,0,0,0
0.0042499999999999994,0,2.500000000000001E-5,0,0,0
0.0038,4.9999999999999996E-6,2.500000000000001E-5,0.3231340096146062,3.130382888070914E-4,-4.3820015845215714E-5
0.00381,4.9999999999999996E-6,2.500000000000001E-5,0.31967914593809815,8.120970339270107E-4,-1.1266676368787893E-4
0.0038199999999999996,4.9999999999999996E-6,2.500000000000001E-5,0.3125732756346978,0.0015774031295285643,-3.9100838487029566E-4
0.0038299999999999996,4.9999999999999996E-6,2.500000000000001E-5,0.31340688170644027,5.567304637421314E-4,4.056196582110765E-4
0.0038399999999999997,4.9999999999999996E-6,2.500000000000001E-5,0.3092848406019902,0.001748232607557625,2.5765952609636713E-4
0.0038499999999999997,4.9999999999999996E-6,2.500000000000001E-5,0.2991203509119424,0.001590498986049758,-2.8237226030808924E-4
0.0038599999999999997,4.9999999999999996E-6,2.500000000000001E-5,0.29927414258332646,0.0015467853822487487,1.493838941841679E-4
0.0038699999999999997,4.9999999999999996E-6,2.500000000000001E-5,0.29477042107328727,0.001397507380726273,-4.0203767381718944E-4
0.0038799999999999998,4.9999999999999996E-6,2.500000000000001E-5,0.2883711590773452,0.001697055166557294,-2.0969947526227126E-4
0.00389,4.9999999999999996E-6,2.500000000000001E-5,0.27773867340151237,0.0023932810840037147,1.9602053244328123E-4
0.0039,4.9999999999999996E-6,2.500000000000001E-5,0.27080084554033124,0.002646229389587648,-3.145317187322422E-4
0.003909999999999999,4.9999999999999996E-6,2.500000000000001E-5,0.26203686151186173,0.002351724769507809,-9.803363837091375E-5
0.00392,4.9999999999999996E-6,2.500000000000001E-5,0.2531615108626364,0.002830848738111949,-1.2218570801419677E-5
0.0039299999999999995,4.9999999999999996E-6,2.500000000000001E-5,0.2426701200985991,0.002792739498253923,4.168276424908497E-5
0.00394,4.9999999999999996E-6,2.500000000000001E-5,0.23748338713702882,0.002164160610212759,-4.977570760396407E-4
0.0039499999999999995,4.9999999999999996E-6,2.500000000000001E-5,0.22829803484665176,0.002108581994732954,4.1807677072080505E-6
0.00396,4.9999999999999996E-6,2.500000000000001E-5,0.22180101803143326,0.001873267057594343,-2.0417483901900575E-4
0.00397,4.9999999999999996E-6,2.500000000000001E-5,0.2183680160520244,0.001468346301911324,1.2250017735033773E-4
0.00398,4.9999999999999996E-6,2.500000000000001E-5,0.21403028324971546,7.500183546978325E-4,5.125376679919539E-4
0.00399,4.9999999999999996E-6,2.500000000000001E-5,0.2105787513933287,3.695118074776236E-4,-6.255322638973302E-5
0.004,4.9999999999999996E-6,2.500000000000001E-5,0.21291879056821417,2.5364267644398285E-4,-2.656735490001951E-4
0.00401,4.9999999999999996E-6,2.500000000000001E-5,0.2131458885900993,-5.706731403809147E-4,-4.390188215173229E-5
0.00402,4.9999999999999996E-6,2.500000000000001E-5,0.2171610497871206,-0.0010783126207404344,-7.247404584923002E-5
0.00403,4.9999999999999996E-6,2.500000000000001E-5,0.22171059896882875,-0.0018036806369223829,-2.8191176319678364E-4
0.00404,4.9999999999999996E-6,2.500000000000001E-5,0.23083775885629612,-0.0020926838117629187,-3.392120594438205E-4
0.00405,4.9999999999999996E-6,2.500000000000001E-5,0.24025084754971696,-0.0022909416880533494,9.197920439588533E-5
0.00406,4.9999999999999996E-6,2.500000000000001E-5,0.25214171514024475,-0.003464488764188703,-2.3950587078362995E-4
0.00407,4.9999999999999996E-6,2.500000000000001E-5,0.2631584623203342,-0.003910457518155015,-3.7786784031497596E-4
0.004079999999999999,4.9999999999999996E-6,2.500000000000001E-5,0.2756204910483998,-0.004134935626890673,5.548373457883167E-4
0.00409,4.9999999999999996E-6,2.500000000000001E-5,0.28784469669974855,-0.004570567150186265,-8.920295289991858E-5
0.0040999999999999995,4.9999999999999996E-6,2.500000000000001E-5,0.3004674903964824,-0.005272869475331756,3.9317867583271184E-4
0.00411,4.9999999999999996E-6,2.500000000000001E-5,0.3150643609061351,-0.004645077048981961,7.150211131331E-5
0.0041199999999999995,4.9999999999999996E-6,2.500000000000001E-5,0.3283035413176125,-0.003938571882422079,1.8935565483794645E-4
0.00413,4.9999999999999996E-6,2.500000000000001E-5,0.33956072662670483,-0.0030611570647574664,4.893068422308477E-4
0.00414,4.9999999999999996E-6,2.500000000000001E-5,0.3500171589645251,-0.0021339019016924417,6.024413196908688E-4
0.00415,4.9999999999999996E-6,2.500000000000001E-5,0.35257225475647336,-0.0021231501186442757,-9.302697655860275E-4
0.00416,4.9999999999999996E-6,2.500000000000001E-5,0.3599254800100124,-0.0012594533123512662,-3.3304014053355105E-4
0.00417,4.9999999999999996E-6,2.500000000000001E-5,0.3655912838208173,-6.536780877842311E-4,-5.543997116256276E-4
0.00418,4.9999999999999996E-6,2.500000000000001E-5,0.36085164734707054,1.6793333471997075E-4,1.0711080379257136E-4
0.00419,4.9999999999999996E-6,2.500000000000001E-5,0.3596064493679911,-2.2222854996418028E-4,1.2145448485778896E-4
0.0042,4.9999999999999996E-6,2.500000000000001E-5,0.35613996250074387,6.609115763497988E-4,1.303272756671926E-4
0.00421,4.9999999999999996E-6,2.500000000000001E-5,0.354872729426344,6.657242003425499E-4,6.594954650447232E-4
0.00422,4.9999999999999996E-6,2.500000000000001E-5,0.35510966543842926,8.871488846476695E-4,1.3600049231711074E-4
0.004229999999999999,4.9999999999999996E-6,2.500000000000001E-5,0.3534561595055336,3.041562373675846E-5,-8.120741079432862E-4
0.00424,4.9999999999999996E-6,2.500000000000001E-5,0.3488990734274055,0.001263094157115361,5.2629476916482516E-5
0.0042499999999999994,4.9999999999999996E-6,2.500000000000001E-5,0.34717861973379915,-1.5782880358924302E-5,1.9670982722399787E-4
0.0038,9.999999999999999E-6,2.500000000000001E-5,0.5545784902367471,0.002534953675658444,-6.800764589209315E-4
0.00381,9.999999999999999E-6,2.500000000000001E-5,0.5507745656044761,0.002479543143121099,3.5250218738360525E-4
0.0038199999999999996,9.999999999999999E-6,2.500000000000001E-5,0.5500881882793364,0.003454500199234118,-4.840827068352545E-4
0.0038299999999999996,9.999999999999999E-6,2.500000000000001E-5,0.5464592688950203,0.003105070347490182,1.2909034093712414E-5
0.0038399999999999997,9.999999999999999E-6,2.500000000000001E-5,0.5351801354046108,0.004525383088888975,1.86500189608106E-5
0.0038499999999999997,9.999999999999999E-6,2.500000000000001E-5,0.5343079194387967,0.004561063944194874,1.433046053667055E-5
0.0038599999999999997,9.999999999999999E-6,2.500000000000001E-5,0.5344834976452738,0.004376135741263363,-4.8062626765955815E-4
0.0038699999999999997,9.999999999999999E-6,2.500000000000001E-5,0.5219806223222959,0.005941826847674852,-3.7031262307241677E-4
