x1,y1,uMBx1,uMBy1,x2,y2,uMBx2,uMBy2
3930.0,150.0,0.0,0.0,4050.0,190.0,0.0,0.0
3930.0000001551653,150.00000006629185,7.204021981701381e-06,3.0778064952365407e-06,4050.0000000524983,190.00000000989263,2.4377950461007743e-06,4.593722278247423e-07
3930.0000186354487,150.0000079617278,7.836350835532502e-05,3.347973740881329e-05,4050.000006325585,190.000001192,2.6646912271469682e-05,5.02142665765719e-06
3930.001767487566,150.0007551547286,0.000711656803801824,0.0003040583455516154,4050.00061825702,190.00011652852055,0.00025296001905032023,4.768330936073494e-05
3930.0073290420205,150.00313141647084,0.0013417475638680069,0.0005732952522658128,4050.002647588887,190.00049914893884,0.0004994347913866606,9.418407181922698e-05
3930.017981151755,150.0076829358318,0.001937398037174879,0.0008278495150799605,4050.006713105911,190.00126605591154,0.0007547987259422123,0.00014242081500219364
3930.03522329114,150.0150507715857,0.0024905613001997163,0.0010642935864174745,4050.0135932104486,190.0025647356715,0.0010141893275005115,0.000191504668573109
3930.060839179218,150.02599777747199,0.0029970655622910086,0.001280866129003287,4050.0242632652216,190.00458048720665,0.0012730320431620606,0.0002406070842427417
3930.0970045031004,150.04145497414595,0.003455787328610775,0.0014771234397118625,4050.0399538401134,190.00754786113924,0.0015272385086635236,0.0002889964607765681
3930.1463960382716,150.0625688163695,0.0038674691216769577,0.0016534376133219967,4050.0622135828507,190.01176320806672,0.0017731213938028175,0.0003360202176004473
3930.21232176522,150.09075792306467,0.004234072688266595,0.001810723511109932,4050.0929838008337,190.01759976342078,0.0020074365626099587,0.0003811104225257799
3930.2988725616547,150.1277798603663,0.004558371798143651,0.0019502714889748991,4050.134684319618,190.0255253093347,0.002227444184786756,0.00042379352818193607
3930.341896947566,150.14618972133562,0.004681033627688686,0.0020032206025152426,4050.1558325943015,190.02955102724994,0.0023138132618734627,0.00044067051277768153
3930.385991966688,150.16506226412287,0.004788849321891253,0.0020498713977003444,4050.177741704076,190.03372575950965,0.002391127244848552,0.0004558495383159079
3930.5357979330274,150.22927484899853,0.005084539088527639,0.0021825558838380814,4050.2534312229404,190.04817866129815,0.0025946031342148007,0.0004962063670375009
3930.6082083104975,150.26037743188184,0.005193569359915996,0.0022324605798195417,4050.2905277953305,190.05527831728818,0.002670143458792728,0.000511381806456415
3930.6749821044446,150.2890996291835,0.005281055753111575,0.002273074683884426,4050.3249574314295,190.06187643723126,0.0027305717523037534,0.0005236183351017356
3930.7699923651685,150.33002819825347,0.005386333503176333,0.002322163905548197,4050.374259547955,190.07133832356638,0.002804555468528596,0.000538566696559712
3930.866730601456,150.37176433048876,0.005475727537683133,0.0023640359897926042,4050.424786554146,190.08104640641278,0.0028685010522724735,0.0005514465582069777
3931.1073476854294,150.4757504302122,0.005631871069760877,0.0024358420080225706,4050.5517726942358,190.1054936960181,0.002992601880308683,0.0005769823245414125
3931.216379314774,150.52292273550475,0.005686287431465819,0.0024609182965615764,4050.6098605081597,190.11670090339163,0.0030369744105919446,0.0005863454735046806
3931.273471403243,150.5476349502948,0.005711970843820123,0.0024727966220992495,4050.6403881641577,190.12259721436672,0.0030573328731460145,0.000590812080713873
3931.3308101592515,150.57246107592738,0.005734754552662591,0.002483199500357768,4050.671108130748,190.12853696096528,0.0030757747290208804,0.0005950319465399511
3931.3865643315357,150.59660454234447,0.005754143135182698,0.002491891084175738,4050.7010430075425,190.1343311433192,0.0030926383082786396,0.0005989229585662173
3931.4789468225244,150.63661666372013,0.005785328366783029,0.0025061403271725968,4050.7507724362376,190.14396999331396,0.0031185049220111053,0.0006049554809905819
3931.525651965114,150.65685088182437,0.005800846257857232,0.002513378062616035,4050.7759637809954,190.14885887976655,0.0031306897832180415,0.0006078257476368963
3931.5724826151636,150.67714414689024,0.005817387205408867,0.002521347671135468,4050.8012512632185,190.15377048628577,0.0031423595313890525,0.0006105927349255375
3931.6167762402,150.69634570612058,0.0058340890102369395,0.002529637129438795,4050.8251831049724,190.15842246949254,0.003152921420458203,0.0006131128719612729
3931.8364686425953,150.79169762502002,0.005907490916115785,0.0025664509800930897,4050.9440422037633,190.181577990631,0.0031993923977245253,0.000624402802463909
3931.949170643865,150.84068276760516,0.005939736226607021,0.0025828501164535727,4051.0051094806145,190.1935066969648,0.003219897410036529,0.0006295293493012559
3932.0530314076473,150.88586487457528,0.005967406619168373,0.0025971442923903416,4051.0614297950647,190.20452728079576,0.0032366912573443428,0.0006338763499838676
3932.1645038076413,150.93440346261576,0.0059957343929541934,0.002611971097253954,4051.1219032250588,190.21638103508604,0.0032531862717651567,0.0006382447297323406
3932.426803385081,151.0487977218331,0.006059189176140415,0.0026456024058857507,4051.264228187266,190.24436211371258,0.0032866291475198406,0.0006474910623602316
3932.673464577256,151.156616680438,0.006117043312102637,0.002676995790479108,4051.3979287484053,190.2707528006719,0.0033124874736870755,0.0006550867782694449
3932.9002423917445,151.2559660942635,0.006166124377478664,0.0027040758738092765,4051.520608597594,190.29505110376454,0.003332357165866289,0.0006609848583432717
3933.0928590352155,151.3405042608676,0.0062041407573557895,0.0027252200717348186,4051.624611084782,190.31570730995588,0.0033458451858767277,0.0006655079708354098
3933.2688597531032,151.41786998512742,0.0062364364401849325,0.0027433047713478487,4051.7194174460956,190.3345914349358,0.003355668110228125,0.000669339925326547
3933.466852234777,151.50500833266915,0.0062600252788267636,0.00275632557583998,4051.8258974662504,190.35586360396974,0.003365453576319561,0.0006733781380618282
3933.63684217765,151.57988985858492,0.00628198146714192,0.0027685260977198655,4051.917223483509,190.3741623418464,0.0033718353730340716,0.000676731064266777
3933.7909699493152,151.64784321455562,0.006300924192433298,0.002779134318026759,4051.999876407028,190.39077745414684,0.0033759567304298757,0.0006797220970562711
3934.2962721601034,151.8709949590235,0.00635637631102488,0.002810684475613995,4052.2698747466784,190.44541472357085,0.003386784346339981,0.0006887549436790707
3934.558749534306,151.98714265849893,0.006386461289036579,0.0028281494644397374,4052.4094880668486,190.47387808238773,0.003390998361064522,0.000693038685992703
3934.732271022064,152.06402314846795,0.006407086051476313,0.002840255583721153,4052.5015144558124,190.4927145587613,0.0033941439224244837,0.0006955859755943693
3934.889962201571,152.13396241555603,0.006426198940256857,0.002851565604536694,4052.5849373934816,190.5098347059291,0.0033947761792880236,0.0006977126689559703
3935.074088963291,152.21571388985578,0.0064480778130411335,0.0028646166137557333,4052.6820468711594,190.52982724390694,0.00339501364264009,0.0007001385970331496
3935.271527291297,152.3034823040084,0.006470716902964832,0.0028782206237309353,4052.7858180031003,190.55126589987213,0.0033950678695069945,0.0007026570958049994
3935.3930798794017,152.35756950792563,0.006483849549238179,0.0028861607868103903,4052.849528892982,190.56446609443032,0.0033950023408793888,0.0007041690564316763
3935.514882588984,152.41180834169185,0.006498585426480444,0.002895121458487825,4052.9132378718027,190.57769443366726,0.0033948648035990138,0.0007056568880745458
3935.590339656509,152.44543529629672,0.0065099550676978556,0.0029020610499694024,4052.952621711931,190.58588617727062,0.003394745766233313,0.0007065651275714634
3935.6659252784607,152.47914078092208,0.006520067089633824,0.002908235935418657,4052.9920040296574,190.59408840747275,0.003394602655546739,0.0007074647550946552
3935.7458010012647,152.51477809144302,0.00652919513015451,0.00291380968300769,4053.0335601490433,190.60275504672293,0.00339442777270418,0.0007084048270651436
3935.899876917677,152.583571103832,0.006545753731017464,0.0029239664082265754,4053.1135544426224,190.6194715904373,0.003394032037942918,0.0007101877152349692
3936.007743021211,152.6317696577675,0.006556474772435016,0.0029305781183748495,4053.1694340519034,190.63117512913874,0.003393384879156678,0.0007114357369881718
3936.1157771715293,152.6800721317952,0.006565658491609149,0.002936282302880416,4053.225297993962,190.64289942739555,0.003392326729322658,0.000712695718659597
3936.231767145276,152.73195819493364,0.006573994527107033,0.002941506116209281,4053.2851790259037,190.6554937996494,0.0033911734941551096,0.0007140297216731907
3936.454659645917,152.83173981558912,0.006590708529950075,0.0029519846582947676,4053.399978476413,190.67971615130034,0.0033889061792789893,0.0007165393871065417
3936.571811643656,152.8842272294494,0.006600166187880918,0.00295790601600567,4053.4601628171436,190.69245521547836,0.0033875099662043417,0.0007178221561012529
3936.6891379712856,152.93682380925188,0.006611209470300745,0.0029648044998850055,4053.520319460006,190.7052167939415,0.0033858927200616064,0.000719079552847992
