x,y,uMBx,uMBy
3930.0,140.0,0.0,0.0
3930.000000086433,140.0000000464654,3.7007714030523847e-06,1.98949682327405e-06
3930.0000104317146,140.00000560798952,4.055298052756088e-05,2.1800908373533353e-05
3930.0010359072185,140.00055690038747,0.000394159647719887,0.000211900293284851
3930.0125888000684,140.00676788417638,0.0012850772570825704,0.0006908838702967964
3930.0397887241215,140.02139135200764,0.002130489314235825,0.0011454258177376773
3930.08800698968,140.0473154819783,0.0029420869265292734,0.001581801874775762
3930.1629509167383,140.08760921775115,0.00370482531169268,0.0019919247309889768
3930.2714717420813,140.14595692595023,0.004412660910199785,0.0023725580363563935
3930.3324193392978,140.17872690469244,0.004708205973784721,0.0025315026526465073
3930.397100456257,140.2135048732978,0.0049726164660845685,0.0026737176460538423
3930.4683174731354,140.25180065236253,0.005229143491756637,0.0028121522664518255
3930.5356306967974,140.2880035205948,0.005439628889462375,0.002925797713456708
3930.6454618788216,140.34708419240408,0.005735890822676523,0.003085753486335539
3930.760743141912,140.40910742977047,0.005995251401650394,0.0032257833021791167
3931.0915479943887,140.58708270832182,0.006534425386379054,0.0035150514619862712
3931.1629173618685,140.62547281183467,0.006624447281055884,0.0035631119317334112
3931.2285122527583,140.6607521781269,0.006700207359849424,0.00360338511392162
3931.400725992113,140.75335467379688,0.006879482610151761,0.0036986897430999334
3931.577276703949,140.84826322439093,0.007043313169437059,0.003785829503207342
3931.6451202109847,140.88472826081374,0.007102841012147512,0.003817601670972908
3931.707659670047,140.91834120551698,0.007157006709575559,0.003846608611525213
3932.2017697634415,141.18388037420948,0.00751262894478574,0.00403689778398852
3932.334922414521,141.25542745913316,0.0075909310099733125,0.004078720346380667
3932.4041768505385,141.29263834453752,0.007629482457256287,0.004099313766538522
3932.473779405654,141.33003533913583,0.0076682800725255285,0.00412011451266898
3932.5408820282173,141.36608928373363,0.007705969263385925,0.0041404027474428035
3933.048856369431,141.63899614498152,0.007946343786284487,0.004268586692949236
3933.2908365674066,141.76896889689226,0.008035697450390898,0.004315684414033521
3933.5354020543814,141.900303729251,0.008118768238122308,0.004359498515185246
3933.787466223342,142.03564326570913,0.008200625118106679,0.0044028222472515715
3933.953415913424,142.12473658936503,0.008252205764603233,0.0044302137853300776
3934.1203911597713,142.21437534293855,0.008302265669583163,0.004456870409639893
3934.3496985041616,142.3374696070156,0.008366048174769073,0.004490837675654655
3934.5008747956913,142.4186188855914,0.008407423303345088,0.004512970783835412
3934.6399982308744,142.49329799475737,0.008445462416362693,0.004533311443664029
3934.771152890301,142.56369707274888,0.008478165094199585,0.004550680407914188
3935.5616237900904,142.98789821902687,0.008637594295046598,0.004634293048462327
3936.285784892932,143.37636327058868,0.008769716571147348,0.0047035290458134135
3936.4406590493772,143.45942455205193,0.008795544413563547,0.004716975940272954
3936.5959776261257,143.5427163672805,0.008819512389012412,0.004729254794981494
3936.754828266241,143.62788925906978,0.00884199098487318,0.004740530590117451
3937.1802094928394,143.8559032782685,0.008899264448117152,0.0047691718029955355
